datetime,value
1990-01-01,33.2
1990-01-02,35.8
1990-01-03,33.8
1990-01-04,31.6
1990-01-05,32.9
1990-01-06,32.2
1990-01-07,36.8
1990-01-08,29.6
1990-01-09,36.8
1990-01-10,35.8
1990-01-11,33.2
1990-01-12,34.8
1990-01-13,32.0
1990-01-14,33.1
1990-01-15,34.0
1990-01-16,36.1
1990-01-17,34.2
1990-01-18,37.8
1990-01-19,36.6
1990-01-20,33.0
1990-01-21,34.4
1990-01-22,33.1
1990-01-23,33.3
1990-01-24,31.8
1990-01-25,38.4
1990-01-26,39.2
1990-01-27,35.1
1990-01-28,31.3
1990-01-29,34.3
1990-01-30,34.2
1990-01-31,36.1
1990-02-01,35.9
1990-02-02,31.6
1990-02-03,32.4
1990-02-04,35.8
1990-02-05,35.0
1990-02-06,34.0
1990-02-07,35.9
1990-02-08,37.0
1990-02-09,37.2
1990-02-10,34.8
1990-02-11,34.9
1990-02-12,36.4
1990-02-13,36.0
1990-02-14,33.2
1990-02-15,33.6
1990-02-16,35.7
1990-02-17,35.0
1990-02-18,33.9
1990-02-19,35.4
1990-02-20,35.3
1990-02-21,34.3
1990-02-22,32.5
1990-02-23,35.2
1990-02-24,36.4
1990-02-25,33.3
1990-02-26,30.5
1990-02-27,37.2
1990-02-28,33.1
1990-03-01,35.2
1990-03-02,36.8
1990-03-03,34.8
1990-03-04,31.9
1990-03-05,34.6
1990-03-06,30.3
1990-03-07,31.6
1990-03-08,31.5
1990-03-09,33.1
1990-03-10,31.9
1990-03-11,36.9
1990-03-12,29.7
1990-03-13,33.4
1990-03-14,33.8
1990-03-15,34.3
1990-03-16,30.2
1990-03-17,33.0
1990-03-18,31.0
1990-03-19,32.7
1990-03-20,31.0
1990-03-21,31.1
1990-03-22,29.9
1990-03-23,26.9
1990-03-24,31.6
1990-03-25,29.9
1990-03-26,26.3
1990-03-27,31.9
1990-03-28,31.4
1990-03-29,30.7
1990-03-30,32.5
1990-03-31,27.5
1990-04-01,27.0
1990-04-02,31.3
1990-04-03,25.7
1990-04-04,27.3
1990-04-05,28.2
