comparison_id,observable,variable,support,unit,variant_id,variant_label,comparison_time_key,time,time_index,elapsed_seconds,value_index,value
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:0,0,0,,0,116.09317049669893
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:1,1,1,,0,118.12833976083722
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:2,2,2,,0,117.48283318499185
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:3,3,3,,0,116.70188318716795
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:4,4,4,,0,115.91040195088696
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:5,5,5,,0,114.92213191366938
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:6,6,6,,0,113.88930683029733
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:7,7,7,,0,113.38731444423797
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:8,8,8,,0,113.26781540737488
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:9,9,9,,0,113.99212462490206
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:10,10,10,,0,116.0170854795419
ex12_mf6_nwt_moderate_same_s60,head_outlet_lowland,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:11,11,11,,0,118.11859317391419
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:0,0,0,,0,116.22570958296646
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:1,1,1,,0,118.35791046733229
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:2,2,2,,0,117.74380480793668
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:3,3,3,,0,116.95702646461714
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:4,4,4,,0,116.1300068276761
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:5,5,5,,0,115.03366343120227
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:6,6,6,,0,113.74421858868092
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:7,7,7,,0,112.99654069341041
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:8,8,8,,0,112.77038776659221
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:9,9,9,,0,113.5178371849262
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:10,10,10,,0,116.00729074627418
ex12_mf6_nwt_moderate_same_s60,head_mid_basin_response,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:11,11,11,,0,118.9517760829107
ex12_mf6_nwt_moderate_same_s60,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:0,0,0,,0,109.48202698196292
ex12_mf6_nwt_moderate_same_s60,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:1,1,1,,0,112.10101538980327
ex12_mf6_nwt_moderate_same_s60,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:2,2,2,,0,111.47989042644949
ex12_mf6_nwt_moderate_same_s60,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:3,3,3,,0,110.69529803922977
ex12_mf6_nwt_moderate_same_s60,head_upstream_ridge,watertable_elevation,point,m,mf6_mod_s60,MF6 annual moderate on 60x60 structured grid,time_index:4,4,4,,0,109.8720796399667
