component,unit,time_index,elapsed_seconds,time_label,value__bouss_mod_tri
closure_residual_m3_s,m3/s,0,0.0,0.0 d,0.0
closure_residual_m3_s,m3/s,1,2678400.0,31.0 d,0.49505432481568
closure_residual_m3_s,m3/s,2,5097600.0,59.0 d,0.05613335235722028
closure_residual_m3_s,m3/s,3,7776000.0,90.0 d,0.04371604784547484
closure_residual_m3_s,m3/s,4,10368000.0,120.0 d,0.10191773342768383
closure_residual_m3_s,m3/s,5,13046400.0,151.0 d,0.1130786944021174
closure_residual_m3_s,m3/s,6,15638400.0,181.0 d,0.18765162481435474
closure_residual_m3_s,m3/s,7,18316800.0,212.0 d,0.26429943140915696
closure_residual_m3_s,m3/s,8,20995200.0,243.0 d,0.18970689425339926
closure_residual_m3_s,m3/s,9,23587200.0,273.0 d,0.12498576755245952
closure_residual_m3_s,m3/s,10,26265600.0,304.0 d,-0.009968017588034136
closure_residual_m3_s,m3/s,11,28857600.0,334.0 d,-0.2255681655611565
closure_residual_m3_s,m3/s,12,31536000.0,365.0 d,-0.3157533348448214
drainage_total_m3_s,m3/s,0,0.0,0.0 d,0.0
drainage_total_m3_s,m3/s,1,2678400.0,31.0 d,3.701467541361581e-10
drainage_total_m3_s,m3/s,2,5097600.0,59.0 d,1.4680820825674345e-09
drainage_total_m3_s,m3/s,3,7776000.0,90.0 d,1.3857578598219791e-09
drainage_total_m3_s,m3/s,4,10368000.0,120.0 d,1.596508555650189e-09
drainage_total_m3_s,m3/s,5,13046400.0,151.0 d,1.4725399834958355e-09
drainage_total_m3_s,m3/s,6,15638400.0,181.0 d,1.173857991574323e-09
drainage_total_m3_s,m3/s,7,18316800.0,212.0 d,4.15590458828774e-10
drainage_total_m3_s,m3/s,8,20995200.0,243.0 d,2.66130021771005e-10
drainage_total_m3_s,m3/s,9,23587200.0,273.0 d,6.51699069607048e-10
drainage_total_m3_s,m3/s,10,26265600.0,304.0 d,5.196479082769658e-10
drainage_total_m3_s,m3/s,11,28857600.0,334.0 d,2.2946373405829946e-10
drainage_total_m3_s,m3/s,12,31536000.0,365.0 d,3.604287300618125e-10
recharge_total_m3_s,m3/s,0,0.0,0.0 d,0.0
recharge_total_m3_s,m3/s,1,2678400.0,31.0 d,0.09711769400490655
recharge_total_m3_s,m3/s,2,5097600.0,59.0 d,0.1893055558268229
recharge_total_m3_s,m3/s,3,7776000.0,90.0 d,0.15972656272888183
recharge_total_m3_s,m3/s,4,10368000.0,120.0 d,0.12423177101135253
recharge_total_m3_s,m3/s,5,13046400.0,151.0 d,0.08873697929382324
recharge_total_m3_s,m3/s,6,15638400.0,181.0 d,0.047326388956705726
recharge_total_m3_s,m3/s,7,18316800.0,212.0 d,0.011831597239176431
recharge_total_m3_s,m3/s,8,20995200.0,243.0 d,0.005915798619588216
recharge_total_m3_s,m3/s,9,23587200.0,273.0 d,0.011831597239176431
recharge_total_m3_s,m3/s,10,26265600.0,304.0 d,0.04141059033711751
recharge_total_m3_s,m3/s,11,28857600.0,334.0 d,0.10648437515258789
recharge_total_m3_s,m3/s,12,31536000.0,365.0 d,0.17747395858764647
storage_change_total_m3_s,m3/s,0,0.0,0.0 d,0.0
storage_change_total_m3_s,m3/s,1,2678400.0,31.0 d,-0.5824167410797633
storage_change_total_m3_s,m3/s,2,5097600.0,59.0 d,-0.0660392639868275
storage_change_total_m3_s,m3/s,3,7776000.0,90.0 d,-0.05143062611029767
storage_change_total_m3_s,m3/s,4,10368000.0,120.0 d,-0.1199031657984856
storage_change_total_m3_s,m3/s,5,13046400.0,151.0 d,-0.13303374422317313
storage_change_total_m3_s,m3/s,6,15638400.0,181.0 d,-0.22076660138038978
storage_change_total_m3_s,m3/s,7,18316800.0,212.0 d,-0.310940500548384
storage_change_total_m3_s,m3/s,8,20995200.0,243.0 d,-0.22318458145082964
storage_change_total_m3_s,m3/s,9,23587200.0,273.0 d,-0.1470421533101664
storage_change_total_m3_s,m3/s,10,26265600.0,304.0 d,0.011727125050466197
storage_change_total_m3_s,m3/s,11,28857600.0,334.0 d,0.2653743341334684
storage_change_total_m3_s,m3/s,12,31536000.0,365.0 d,0.37147458446563586
surface_excess_total_m3_s,m3/s,0,0.0,0.0 d,0.0
surface_excess_total_m3_s,m3/s,1,2678400.0,31.0 d,0.18216529508402823
surface_excess_total_m3_s,m3/s,2,5097600.0,59.0 d,0.1760633178401999
surface_excess_total_m3_s,m3/s,3,7776000.0,90.0 d,0.16628373220053938
surface_excess_total_m3_s,m3/s,4,10368000.0,120.0 d,0.13643016474860872
surface_excess_total_m3_s,m3/s,5,13046400.0,151.0 d,0.10869202764233898
surface_excess_total_m3_s,m3/s,6,15638400.0,181.0 d,0.08044136434888277
surface_excess_total_m3_s,m3/s,7,18316800.0,212.0 d,0.052685628925775975
surface_excess_total_m3_s,m3/s,8,20995200.0,243.0 d,0.03939348555088856
surface_excess_total_m3_s,m3/s,9,23587200.0,273.0 d,0.033887982345184246
surface_excess_total_m3_s,m3/s,10,26265600.0,304.0 d,0.03965148235503754
