comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__boussinesq_reused_gmsh,value__mf6_gmsh_existing
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:0,0,0,,0,106.47634256940385,106.51730624346636
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:1,1,1,,0,106.47634256940385,106.525611150807
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:2,2,2,,0,106.47634256940385,106.5126744036353
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:3,3,3,,0,106.47634256940385,106.50905440498597
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:4,4,4,,0,,106.52125459892832
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:5,5,5,,0,,106.53050840660582
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:6,6,6,,0,,106.51090686532
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:7,7,7,,0,,106.50849652807285
example12_map_method_comparison,head_outlet_lowland,watertable_elevation,point,m,time_index:8,8,8,,0,,106.51813636757092
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:0,0,0,,0,107.98514144451723,108.00990317768238
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:1,1,1,,0,107.98514144451723,108.01831763140545
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:2,2,2,,0,107.98514144451723,108.00574519716801
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:3,3,3,,0,107.98514144451723,108.00270552085975
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:4,4,4,,0,,108.01449734489191
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:5,5,5,,0,,108.02325570596857
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:6,6,6,,0,,108.0044711780619
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:7,7,7,,0,,108.00259014965857
example12_map_method_comparison,head_mid_basin_response,watertable_elevation,point,m,time_index:8,8,8,,0,,108.01194337849081
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:0,0,0,,0,103.90862585386135,103.92086378397488
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:1,1,1,,0,103.90862585386135,103.92918289907435
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:2,2,2,,0,103.90862585386135,103.91679529495248
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:3,3,3,,0,103.90862585386135,103.91418664269234
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:4,4,4,,0,,103.92542132746445
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:5,5,5,,0,,103.93411642976801
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:6,6,6,,0,,103.91553812635456
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:7,7,7,,0,,103.91415908593478
example12_map_method_comparison,head_upstream_ridge,watertable_elevation,point,m,time_index:8,8,8,,0,,103.92290986216015
