comparison_id,variant_id,variant_label,variable,time_index,time_label,value,source_path
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,accumulation_flux,0,2003-01-01,0.0185686525936205,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,intermit_areas,0,2003-01-01,79.1025153920231,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,outflow_drain,0,2003-01-01,2.6606915827266253e-08,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,perenn_areas,0,2003-01-01,20.897484607976896,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,recharge,0,2003-01-01,5.787037037037037e-08,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,seepage_areas,0,2003-01-01,100.0,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,total_areas,0,2003-01-01,100.0,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,watertable_depth,0,2003-01-01,0.0,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,watertable_elevation,0,2003-01-01,131.0995836867127,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,accumulation_flux,1,2003-02-01,0.035080239512363956,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,intermit_areas,1,2003-02-01,79.1025153920231,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
example12_mf6_vs_nwt_different_meshes_demonstrative,mf6_demo_triangular,MF6 annual demonstrative on committed triangular mesh,outflow_drain,1,2003-02-01,5.2601966638695915e-08,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\example12_demonstrative_mf6\results_simulations\example12_demonstrative_annual_mf6_precomputed_mesh\_postprocess\_timeseries\_simulated_timeseries.csv
