time_days,discharge_true_m3_per_s,discharge_noisy_m3_per_s,sigma_m3_per_s
1.000000000000000056e-01,3.491369155333128305e-01,2.994259273846251457e-01,3.491369155333128721e-02
1.184722245568367166e-01,3.489778339998059753e-01,3.930791560079871516e-01,3.489778339998059892e-02
1.403566799144554400e-01,3.487895072359408211e-01,3.184217393807470819e-01,3.487895072359408627e-02
1.662836810087742201e-01,3.485665895508530121e-01,3.395326764904585404e-01,3.485665895508530121e-02
1.969999759660890359e-01,3.483027704668562596e-01,3.456785422100663308e-01,3.483027704668562735e-02
2.333902539034593548e-01,3.479906055616108218e-01,3.222085156885533541e-01,3.479906055616108218e-02
2.765026256982777708e-01,3.476213196577383480e-01,3.000739292565373084e-01,3.476213196577383757e-02
3.275788116228133262e-01,3.471845786622018704e-01,3.697131360748344697e-01,3.471845786622018704e-02
3.880899053063965320e-01,3.466682262176347673e-01,3.591849637790574534e-01,3.466682262176348089e-02
4.597787440970090844e-01,3.460579813639093616e-01,2.784775964172954144e-01,3.460579813639094032e-02
5.447101061712121828e-01,3.453370937238787741e-01,4.264018565061354904e-01,3.453370937238788019e-02
6.453301801669423243e-01,3.444859534665540846e-01,3.778493114672899500e-01,3.444859534665541123e-02
7.645370201804189136e-01,3.434816546611777488e-01,3.173980981351081643e-01,3.434816546611777627e-02
9.057640153682938733e-01,3.422975128808913858e-01,3.731795354197199877e-01,3.422975128808913858e-02
1.073078778242146258e+00,3.409025413906305868e-01,3.249839890410910481e-01,3.409025413906306007e-02
1.271300299830795177e+00,3.392608954001070654e-01,3.372019373532945119e-01,3.392608954001070931e-02
1.506137746007278455e+00,3.373313012184274151e-01,3.639414901379733891e-01,3.373313012184274429e-02
1.784354892585022334e+00,3.350664973409516745e-01,2.929597583718412945e-01,3.350664973409516606e-02
2.113964935234229348e+00,3.324127282112599446e-01,3.515549649533905030e-01,3.324127282112599585e-02
2.504461285123484870e+00,3.293093492737459438e-01,3.753790355137566759e-01,3.293093492737459577e-02
2.967090997650532636e+00,3.256886244024908006e-01,3.687543680475050545e-01,3.256886244024908422e-02
3.515178709542226443e+00,3.214758238082736641e-01,3.118412410982840388e-01,3.214758238082737057e-02
4.164510414342982969e+00,3.165897611080054630e-01,3.451752629681612006e-01,3.165897611080054769e-02
4.933788129773268416e+00,3.109439398540971289e-01,2.605218074374976989e-01,3.109439398540971358e-02
5.845168552263541706e+00,3.044485075661229612e-01,2.996324591335167709e-01,3.044485075661229612e-02
6.924901212963266772e+00,2.970132310235726880e-01,3.103634985203910790e-01,2.970132310235727019e-02
8.204084515360948515e+00,2.885516981078181109e-01,2.497818610032746245e-01,2.885516981078181317e-02
9.719561429871093949e+00,2.789869025776429701e-01,2.767079257868889641e-01,2.789869025776429978e-02
1.151498064313657466e+01,2.682582598408769226e-01,3.145258331330019752e-01,2.682582598408769434e-02
1.364205372521304582e+01,2.563299161372976087e-01,3.234411747567919604e-01,2.563299161372976226e-02
1.616204452349869669e+01,2.431999409935431955e-01,2.621053642880872281e-01,2.431999409935432094e-02
1.914753368085531093e+01,2.289096429593592552e-01,2.478778558535185417e-01,2.289096429593592830e-02
2.268450909947885208e+01,2.135518630299413911e-01,1.930724889430477098e-01,2.135518630299414189e-02
2.687484255995064686e+01,1.972767620131673505e-01,1.734183414860729078e-01,1.972767620131673713e-02
3.183922382692106368e+01,1.802934506885749688e-01,1.548307506396585376e-01,1.802934506885749827e-02
3.772063674938375044e+01,1.628659557379219802e-01,1.716859099408548084e-01,1.628659557379219872e-02
4.468847747399860282e+01,1.453025800361613107e-01,1.562284534566976690e-01,1.453025800361613246e-02
5.294343338402703125e+01,1.279387158091730980e-01,1.195106208780230550e-01,1.279387158091731085e-02
6.272326328682377294e+01,1.111144618491210212e-01,9.746210586737587278e-02,1.111144618491210351e-02
7.430964533054179810e+01,9.514967700122455019e-02,9.760033084858865671e-02,9.514967700122455713e-03
8.803628988338833494e+01,8.031997573482861641e-02,8.283321121643183460e-02,8.031997573482862682e-03
1.042985510421555801e+02,6.683729574643587634e-02,6.596298578378036181e-02,6.683729574643588155e-03
1.235648136001895381e+02,5.483791379972498270e-02,6.180223628845760847e-02,5.483791379972498790e-03
1.463899834416532997e+02,4.437932645580296154e-02,4.396676532981504126e-02,4.437932645580296154e-03
1.734314699117116163e+02,3.544567153945499954e-02,3.521119527109541070e-02,3.544567153945500215e-03
2.054681204860257253e+02,2.795985175752275370e-02,2.486130053597632172e-02,2.795985175752275544e-03
2.434226530949160292e+02,2.179962140634608692e-02,2.209600219330614540e-02,2.179962140634608692e-03
2.883882321968186488e+02,1.681474668493131153e-02,1.907982382208752922e-02,1.681474668493131153e-03
3.416599540437067049e+02,1.284282989372790944e-02,1.292135611976925023e-02,1.284282989372791031e-03
4.047721479754454208e+02,9.722222222222220642e-03,9.791166972499021001e-03,9.722222222222220859e-04
