zone_key,K_value,geology_name
1,0.2,"sables, argiles, graviers, galets"
11,0.26,"sables, argiles, graviers"
21,0.32,"argiles, sables, graviers, galets"
41,0.38,"sables, argiles, graviers"
51,0.44,"sables, cailloutis, vases"
61,0.5,"basanites, hawaïtes, benmoréites, téphrites"
81,0.56,"trachytes, mugéarites, phonolites, pyroclastites"
101,0.62,"sables, cailloutis, galets,argiles"
121,0.68,"sables, argiles, vases, conglomérats"
131,0.74,"sables, argiles, vases, conglomérats"
141,0.8,"sables, cailloutis, argiles"
151,0.86,"calcaires, marnes, argiles"
161,0.92,"argiles, cailloutis, sables"
181,0.98,"basanites, hawaïtes, benmoréites, téphrites"
201,1.04,"trachytes, mugéarites, phonolites, pyroclastites"
221,1.1,"argiles, cailloutis, sables"
231,1.16,"sables, argiles, marnes, grès, conglomérats"
241,1.22,"marnes, conglomérats, grès, calcaires"
251,1.28,"calcaires, marnes, argiles, évaporites, conglomérats"
271,1.34,"andésites, adakites, basaltes"
281,1.4,"sables, cailloutis, argiles"
301,1.46,"marnes, argiles, calcaires, conglomérats"
311,1.52,"calcaires, grès, sables"
321,1.58,non documenté
341,1.64,"basanites, hawaïtes, téphrites"
361,1.7,"mugéarites, trachytes, phonolites"
381,1.76,"granodiorites, quartzdiorites"
401,1.82,"calcaires, sables, gypse, marnes, argiles"
411,1.88,"calcaires, grès, argiles"
421,1.94,"grès, conglomérats, schistes"
441,0.2,"basanites, hawaïtes, téphrites"
461,0.26,"mugéarites, trachytes, phonolites"
481,0.32,"sables, argiles, marnes"
491,0.38,"sables, calcaires"
501,0.44,"sables, cailloutis, argiles"
521,0.5,"basanites, hawaïtes, téphrites"
541,0.56,"mugéarites, trachytes, phonolites"
561,0.62,"argiles, conglomérats, grès, marnes"
571,0.68,"sables, marnes, argiles, calcaires"
581,0.74,non documenté
591,0.8,"calcaires, grès, argiles"
601,0.86,"sables, cailloutis, argiles"
621,0.92,"craies, calcaires, marnes, tuffeaux, sables"
631,0.98,"craies, calcaires"
641,1.04,"basaltes, dolérites, basanites"
661,1.1,"marnes, calcschistes, calcaires"
681,1.16,"basanites, hawaïtes, téphrites"
701,1.22,"marnes, grès, schistes, calcaires"
711,1.28,"sables, argiles"
721,1.34,"schistes, calcschistes, conglomérats, grès"
741,1.4,non documenté
761,1.46,"marnes, schistes noirs, calcaires"
771,1.52,"calcaires, grès, argiles"
781,1.58,"calcschistes, calcaires, prasinites, micaschistes"
801,1.64,"calcaires, calcschistes, marnes"
811,1.7,"calcaires, marnes, argiles"
821,1.76,"marnes, calcschistes, calcaires"
841,1.82,"calcschistes éclogitiques, marbres, amphibolites"
861,1.88,"schistes bleus, métabasaltes, métagabbros, prasinites"
881,1.94,"métapéridotites, serpentinites, ultrabasites"
901,0.2,"calcaires, marnes, grès, argiles, dolomies"
911,0.26,"argiles, grès, calcaires"
921,0.32,"calcaires, marnes, dolomies"
931,0.38,"argiles, grès, calcaires"
