solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
boussinesq,Local dense runtime,local,regularized_partition,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
boussinesq,Local dense runtime,local,regularized_partition,1.0,0.0,0.0,0.0,nan,nan,-1.2219897821335453
boussinesq,Local dense runtime,local,regularized_partition,2.0,0.0,0.0,0.0,nan,nan,-1.2451089799342916
boussinesq,Local dense runtime,local,regularized_partition,3.0,10.000000000000002,0.061897891104999915,0.0,nan,346.3570301084525,-1.2259674083001104
boussinesq,Local dense runtime,local,regularized_partition,4.0,10.000000000000002,0.06666335328703148,0.0,nan,340.20700629165003,-1.2146142111396179
boussinesq,Local dense runtime,local,regularized_partition,5.0,10.000000000000002,0.07487482276725425,0.0,nan,335.83685106127774,-1.2055136507005186
boussinesq,Local dense runtime,local,regularized_partition,6.0,0.0,0.0,0.0,nan,nan,-1.2242656078764371
boussinesq,Local dense runtime,local,regularized_partition,7.0,0.0,0.0,0.0,nan,nan,-1.2322656855538687
boussinesq,Local dense runtime,local,regularized_partition,8.0,20.000000000000004,0.2845061067764365,70.0,385.0,340.9636893207676,-1.1838018890680884
boussinesq,Local dense runtime,local,regularized_partition,9.0,20.000000000000004,0.39658127583139025,90.0,385.0,333.67051909847413,-1.1343070983995425
boussinesq,Local dense runtime,local,regularized_partition,10.0,20.000000000000004,0.5678961782772842,120.0,385.0,328.11022586129815,-1.070168947906681
boussinesq,Local dense runtime,local,regularized_partition,11.0,0.0,0.0,0.0,nan,nan,-1.1449951908507314
boussinesq,Local dense runtime,local,regularized_partition,12.0,0.0,0.0,0.0,nan,nan,-1.18260205289664
boussinesq,Local dense runtime,local,regularized_partition,13.0,32.0,1.8240246505775228,180.0,395.0,327.24009150726,-0.9915404941470696
boussinesq,Local dense runtime,local,regularized_partition,14.0,32.0,3.5745275949183664,210.0,395.0,321.03166244960596,-0.8078018264790892
boussinesq,Local dense runtime,local,regularized_partition,15.0,32.0,6.845990494324985,240.0,395.0,315.6579226037591,-0.6321720629684648
boussinesq,Local dense runtime,local,regularized_partition,16.0,0.0,0.0,0.0,nan,nan,-0.7356391665522048
boussinesq,Local dense runtime,local,regularized_partition,17.0,0.0,0.0,0.0,nan,nan,-0.8152630284295999
boussinesq,Local dense runtime,local,regularized_partition,18.0,42.0,17.260536826491766,300.0,395.0,309.4305961257058,-0.5333237949778535
boussinesq,Local dense runtime,local,regularized_partition,19.0,42.0,37.70280815739979,340.0,395.0,303.6649083574595,-0.3145338027623348
boussinesq,Local dense runtime,local,regularized_partition,20.0,42.0,69.50162038509661,380.0,395.0,296.43485048769924,-0.16217581753506582
boussinesq,Local dense runtime,local,regularized_partition,21.0,0.0,0.0,0.0,nan,nan,-0.23502723743536347
boussinesq,Local dense runtime,local,regularized_partition,22.0,0.0,0.0,0.0,nan,nan,-0.3049928716590218
boussinesq,Local dense runtime,local,regularized_partition,23.0,0.0,0.0,0.0,nan,nan,-0.36930296608005797
boussinesq,Local dense runtime,local,regularized_partition,24.0,0.0,0.0,0.0,nan,nan,-0.4284923729671899
boussinesq,Local dense runtime,local,regularized_partition,25.0,0.0,0.0,0.0,nan,nan,-0.4835983495931071
boussinesq,Local dense runtime,local,regularized_partition,26.0,0.0,0.0,0.0,nan,nan,-0.5345158468897946
boussinesq,Local dense runtime,local,regularized_partition,27.0,0.0,0.0,0.0,nan,nan,-0.5815048938151195
boussinesq,Local dense runtime,local,regularized_partition,28.0,0.0,0.0,0.0,nan,nan,-0.6249407851916358
boussinesq,Local dense runtime,local,regularized_partition,29.0,0.0,0.0,0.0,nan,nan,-0.6652093452668426
boussinesq,Local dense runtime,local,regularized_partition,30.0,0.0,0.0,0.0,nan,nan,-0.702667199687939
boussinesq,Local dense runtime,local,regularized_partition,31.0,0.0,0.0,0.0,nan,nan,-0.7376300058691019
boussinesq,Local dense runtime,local,regularized_partition,32.0,0.0,0.0,0.0,nan,nan,-0.7703721008874274
boussinesq,Local dense runtime,local,regularized_partition,33.0,0.0,0.0,0.0,nan,nan,-0.8005853520094224
boussinesq,Local dense runtime,local,regularized_partition,34.0,0.0,0.0,0.0,nan,nan,-0.828149125345325
boussinesq,Local dense runtime,local,regularized_partition,35.0,0.0,0.0,0.0,nan,nan,-0.8541146819192811
boussinesq,Local dense runtime,local,regularized_partition,36.0,0.0,0.0,0.0,nan,nan,-0.8786438255275097
boussinesq,Local dense runtime,local,regularized_partition,37.0,0.0,0.0,0.0,nan,nan,-0.9018724822547606
boussinesq,Local dense runtime,local,regularized_partition,38.0,0.0,0.0,0.0,nan,nan,-0.9239261562991086
boussinesq,Local dense runtime,local,regularized_partition,39.0,0.0,0.0,0.0,nan,nan,-0.9448545055586486
boussinesq,Local dense runtime,local,regularized_partition,40.0,0.0,0.0,0.0,nan,nan,-0.9632873932296429
petsc_partition,PETSc regularized partition,petsc,regularized_partition,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
petsc_partition,PETSc regularized partition,petsc,regularized_partition,1.0,0.0,0.0,0.0,nan,nan,-1.2219897810517297
petsc_partition,PETSc regularized partition,petsc,regularized_partition,2.0,0.0,0.0,0.0,nan,nan,-1.2451089420131711
petsc_partition,PETSc regularized partition,petsc,regularized_partition,3.0,10.000000000000002,0.061897876409094395,0.0,nan,346.357028743057,-1.2259673919732195
petsc_partition,PETSc regularized partition,petsc,regularized_partition,4.0,10.000000000000002,0.0666632586885273,0.0,nan,340.2070317095938,-1.2146142555862727
petsc_partition,PETSc regularized partition,petsc,regularized_partition,5.0,10.000000000000002,0.07487439712119387,0.0,nan,335.8369668773297,-1.2055138817731241
petsc_partition,PETSc regularized partition,petsc,regularized_partition,6.0,0.0,0.0,0.0,nan,nan,-1.2242655318956173
petsc_partition,PETSc regularized partition,petsc,regularized_partition,7.0,0.0,0.0,0.0,nan,nan,-1.2322636152840363
petsc_partition,PETSc regularized partition,petsc,regularized_partition,8.0,20.000000000000004,0.2845117160019461,70.0,385.0,340.96367136339535,-1.1838001822728423
petsc_partition,PETSc regularized partition,petsc,regularized_partition,9.0,20.000000000000004,0.3965878636261693,90.0,385.0,333.67054367154265,-1.134303328696963
petsc_partition,PETSc regularized partition,petsc,regularized_partition,10.0,20.000000000000004,0.5678983787535995,120.0,385.0,328.110415473787,-1.0701657809352847
petsc_partition,PETSc regularized partition,petsc,regularized_partition,11.0,0.0,0.0,0.0,nan,nan,-1.1449807446472224
