solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,recharge_flux_m3_day,surface_excess_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
boussinesq,Local dense runtime,local,regularized_partition,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
boussinesq,Local dense runtime,local,regularized_partition,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2217297781090783
boussinesq,Local dense runtime,local,regularized_partition,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2450241004244647
boussinesq,Local dense runtime,local,regularized_partition,3.0,10.000000000000002,120.00000000000003,8.121193221840922,-0.0,8.121193221840922,111.8788067781591,8.121193221840922,400.0,395.0,283.96893394502916,-1.2290079284917939
boussinesq,Local dense runtime,local,regularized_partition,4.0,10.000000000000002,120.00000000000003,8.27738511990544,-0.0,8.27738511990544,111.7226148800946,8.27738511990544,400.0,395.0,278.7757836403225,-1.219369930172003
boussinesq,Local dense runtime,local,regularized_partition,5.0,10.000000000000002,120.00000000000003,8.544378151516401,-0.0,8.544378151516401,111.45562184848363,8.544378151516401,400.0,395.0,274.9275319501091,-1.2116953859378414
boussinesq,Local dense runtime,local,regularized_partition,6.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2294272639295252
boussinesq,Local dense runtime,local,regularized_partition,7.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2366809931129583
boussinesq,Local dense runtime,local,regularized_partition,8.0,20.000000000000004,240.00000000000006,21.711453741852907,-0.0,21.711453741852907,218.28854625814716,21.711453741852907,400.0,395.0,282.82487323813234,-1.1962316320764272
boussinesq,Local dense runtime,local,regularized_partition,9.0,20.000000000000004,240.00000000000006,23.523922220382286,-0.0,23.523922220382286,216.47607777961778,23.523922220382286,400.0,395.0,275.99246271934567,-1.1734671286918088
boussinesq,Local dense runtime,local,regularized_partition,10.0,20.000000000000004,240.00000000000006,25.82797189102766,-0.0,25.82797189102766,214.1720281089724,25.82797189102766,400.0,395.0,270.74647309092927,-1.1322616314033889
boussinesq,Local dense runtime,local,regularized_partition,11.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1898249341807103
boussinesq,Local dense runtime,local,regularized_partition,12.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2027972481444666
boussinesq,Local dense runtime,local,regularized_partition,13.0,32.0,384.0,52.551352788354926,-0.0,52.551352788354926,331.4486472116451,52.551352788354926,400.0,395.0,272.2953950576559,-1.1009599438045976
boussinesq,Local dense runtime,local,regularized_partition,14.0,32.0,384.0,61.40698328895824,-0.0,61.40698328895824,322.59301671104174,61.40698328895824,400.0,395.0,264.9774189200188,-0.9858498775309812
boussinesq,Local dense runtime,local,regularized_partition,15.0,32.0,384.0,71.92191467605173,-0.0,71.92191467605173,312.07808532394824,71.92191467605173,400.0,395.0,258.8438031310013,-0.8769464630273456
