solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
boussinesq,Local dense runtime,local,regularized_partition,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
boussinesq,Local dense runtime,local,regularized_partition,1.0,0.0,0.0,0.0,nan,nan,-1.2219897821335453
boussinesq,Local dense runtime,local,regularized_partition,2.0,0.0,0.0,0.0,nan,nan,-1.2451089799342911
boussinesq,Local dense runtime,local,regularized_partition,3.0,10.000000000000002,0.061897891104999075,0.0,nan,346.35703010845185,-1.2259674083001095
boussinesq,Local dense runtime,local,regularized_partition,4.0,10.000000000000002,0.06666335328703107,0.0,nan,340.2070062916495,-1.2146142111396179
boussinesq,Local dense runtime,local,regularized_partition,5.0,10.000000000000002,0.07487482276725274,0.0,nan,335.8368510612763,-1.2055136507005182
boussinesq,Local dense runtime,local,regularized_partition,6.0,0.0,0.0,0.0,nan,nan,-1.2242656078764358
boussinesq,Local dense runtime,local,regularized_partition,7.0,0.0,0.0,0.0,nan,nan,-1.2322656855538683
boussinesq,Local dense runtime,local,regularized_partition,8.0,20.000000000000004,0.284506106776444,70.0,385.0,340.963689320769,-1.1838018890680906
boussinesq,Local dense runtime,local,regularized_partition,9.0,20.000000000000004,0.39658127583139124,90.0,385.0,333.6705190984744,-1.1343070983995505
boussinesq,Local dense runtime,local,regularized_partition,10.0,20.000000000000004,0.5678961782772927,120.0,385.0,328.1102258612982,-1.0701689479066774
boussinesq,Local dense runtime,local,regularized_partition,11.0,0.0,0.0,0.0,nan,nan,-1.1449951908507385
boussinesq,Local dense runtime,local,regularized_partition,12.0,0.0,0.0,0.0,nan,nan,-1.1826020528966419
boussinesq,Local dense runtime,local,regularized_partition,13.0,32.0,1.824024650577821,180.0,395.0,327.2400915072624,-0.9915404941469426
boussinesq,Local dense runtime,local,regularized_partition,14.0,32.0,3.5745275949184676,210.0,395.0,321.0316624496041,-0.8078018264791513
boussinesq,Local dense runtime,local,regularized_partition,15.0,32.0,6.845990494324086,240.0,395.0,315.6579226037559,-0.6321720629685039
boussinesq,Local dense runtime,local,regularized_partition,16.0,0.0,0.0,0.0,nan,nan,-0.7356391665522439
boussinesq,Local dense runtime,local,regularized_partition,17.0,0.0,0.0,0.0,nan,nan,-0.8152630284296336
boussinesq,Local dense runtime,local,regularized_partition,18.0,42.0,17.26053682649028,300.0,395.0,309.4305961257051,-0.5333237949778837
boussinesq,Local dense runtime,local,regularized_partition,19.0,42.0,37.702808157397286,340.0,395.0,303.66490835745884,-0.31453380276236054
boussinesq,Local dense runtime,local,regularized_partition,20.0,42.0,69.50162038509369,380.0,395.0,296.43485048769884,-0.16217581753508004
boussinesq,Local dense runtime,local,regularized_partition,21.0,0.0,0.0,0.0,nan,nan,-0.23502723743537945
boussinesq,Local dense runtime,local,regularized_partition,22.0,0.0,0.0,0.0,nan,nan,-0.3049928716590484
boussinesq,Local dense runtime,local,regularized_partition,23.0,0.0,0.0,0.0,nan,nan,-0.36930296608008195
boussinesq,Local dense runtime,local,regularized_partition,24.0,0.0,0.0,0.0,nan,nan,-0.4284923729672121
boussinesq,Local dense runtime,local,regularized_partition,25.0,0.0,0.0,0.0,nan,nan,-0.48359834959312753
boussinesq,Local dense runtime,local,regularized_partition,26.0,0.0,0.0,0.0,nan,nan,-0.5345158468898132
boussinesq,Local dense runtime,local,regularized_partition,27.0,0.0,0.0,0.0,nan,nan,-0.5815048938151373
boussinesq,Local dense runtime,local,regularized_partition,28.0,0.0,0.0,0.0,nan,nan,-0.6249407851916517
boussinesq,Local dense runtime,local,regularized_partition,29.0,0.0,0.0,0.0,nan,nan,-0.6652093452668568
boussinesq,Local dense runtime,local,regularized_partition,30.0,0.0,0.0,0.0,nan,nan,-0.7026671996879505
boussinesq,Local dense runtime,local,regularized_partition,31.0,0.0,0.0,0.0,nan,nan,-0.7376300058691125
boussinesq,Local dense runtime,local,regularized_partition,32.0,0.0,0.0,0.0,nan,nan,-0.770372100887438
boussinesq,Local dense runtime,local,regularized_partition,33.0,0.0,0.0,0.0,nan,nan,-0.8005853520094313
boussinesq,Local dense runtime,local,regularized_partition,34.0,0.0,0.0,0.0,nan,nan,-0.8281491253453339
boussinesq,Local dense runtime,local,regularized_partition,35.0,0.0,0.0,0.0,nan,nan,-0.85411468191929
boussinesq,Local dense runtime,local,regularized_partition,36.0,0.0,0.0,0.0,nan,nan,-0.8786438255275169
boussinesq,Local dense runtime,local,regularized_partition,37.0,0.0,0.0,0.0,nan,nan,-0.901872482254177
boussinesq,Local dense runtime,local,regularized_partition,38.0,0.0,0.0,0.0,nan,nan,-0.9239261562995358
boussinesq,Local dense runtime,local,regularized_partition,39.0,0.0,0.0,0.0,nan,nan,-0.9448545055584399
boussinesq,Local dense runtime,local,regularized_partition,40.0,0.0,0.0,0.0,nan,nan,-0.9632873932292627
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,1.0,0.0,0.0,0.0,nan,nan,-1.2219897821349464
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,2.0,0.0,0.0,0.0,nan,nan,-1.2451089799394697
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,3.0,10.000000000000002,0.061897891104993885,0.0,nan,346.3570301083817,-1.2259674083002854
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,4.0,10.000000000000002,0.06666335328286903,0.0,nan,340.2070062881305,-1.2146142111377647
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,5.0,10.000000000000002,0.07487482276275509,0.0,nan,335.8368510576929,-1.205513650698486
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,6.0,0.0,0.0,0.0,nan,nan,-1.2242656078778849
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,7.0,0.0,0.0,0.0,nan,nan,-1.2322656855539948
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,8.0,20.000000000000004,0.28450610677212856,70.0,385.0,340.96368931990503,-1.1838018890670337
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,9.0,20.000000000000004,0.3965812758094366,90.0,385.0,333.6705190949239,-1.1343070983940775
scipy_sparse,SciPy sparse regularized partition,scipy_sparse,regularized_partition,10.0,20.000000000000004,0.5678961782534162,120.0,385.0,328.1102258583792,-1.0701689479033574
