solver,solver_label,elapsed_days,recharge_mm_day,recharge_flux_m3_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflow6_irregular_tri,MODFLOW 6 irregular triangles,15.0,0.6,0.72,0.0,0.43915145758996027,0.43915145758996027,0.2808485424100397,-0.20271511025745337,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,30.0,0.6,0.72,0.0,0.567139398899003,0.567139398899003,0.15286060110099697,-0.2025782846096691,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,45.0,1.8,2.16,0.0,1.4924783647058992,1.4924783647058992,0.6675216352941009,-0.20156694892600413,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,60.0,1.8,2.16,0.0,1.767397217969604,1.767397217969604,0.3926027820303961,-0.20127316590741717,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,75.0,3.0,3.6,0.0,2.761947823172586,2.761947823172586,0.8380521768274143,-0.20018810109977903,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,90.0,3.0,3.6,0.0,3.0661462279464327,3.0661462279464327,0.5338537720535674,-0.19986311582835103,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,105.0,4.2,5.040000000000001,0.0,4.074661958205704,4.074661958205704,0.9653380417942969,-0.19876336505436232,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,120.0,4.2,5.040000000000001,0.0,4.380816514718272,4.380816514718272,0.6591834852817291,-0.1984363639001936,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,135.0,5.4,6.48,0.0,5.394519778823709,5.394519778823709,1.085480221176291,-0.19733125671011376,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,150.0,5.4,6.48,0.0,5.698829783703748,5.698829783703748,0.7811702162962524,-0.19700632080751124,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,165.0,7.2,8.64,0.0,7.160130941027233,7.160130941027233,1.4798690589727679,-0.19541228432012492,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,180.0,7.2,8.64,0.0,7.590589594150754,7.590589594150754,1.0494104058492466,-0.19495276403536455,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,195.0,6.0,7.2,0.0,6.866410227718976,6.866410227718976,0.33358977228102393,-0.19574851245609715,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,210.0,6.0,7.2,0.0,6.689697209430214,6.689697209430214,0.5103027905697859,-0.1959372188136177,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,225.0,4.8,5.76,0.0,5.727313716138115,5.727313716138115,0.0326862838618851,-0.19698734956178487,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,240.0,4.8,5.76,0.0,5.450524315332033,5.450524315332033,0.3094756846679667,-0.19728289731840576,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,255.0,3.6,4.32,0.0,4.450609858776396,4.450609858776396,-0.13060985877639553,-0.19837324520986233,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,270.0,3.6,4.32,0.0,4.15304943953919,4.15304943953919,0.16695056046081014,-0.19869107569927724,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,285.0,2.4,2.88,0.0,3.148198770800317,3.148198770800317,-0.2681987708003173,-0.1997869126749494,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,300.0,2.4,2.88,0.0,2.8458458327903884,2.8458458327903884,0.03415416720961151,-0.20010992779251957,0.0,
modflow6_irregular_tri,MODFLOW 6 irregular triangles,315.0,1.2,1.44,0.0,1.8427385831772638,1.8427385831772638,-0.40273858317726385,-0.20120412091424722,0.0,
