solver,solver_label,elapsed_days,recharge_mm_day,drainage_flux_m3_day,max_clearance_m,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,10.0,0.2,0.0,0.0,
modflownwt,MODFLOW-NWT,20.0,0.4,0.0,0.0,
modflownwt,MODFLOW-NWT,30.0,0.6,0.0,0.0,
modflownwt,MODFLOW-NWT,40.0,0.8,0.0,0.0,
modflownwt,MODFLOW-NWT,50.0,1.0,0.0,0.0,
modflownwt,MODFLOW-NWT,60.0,1.2,0.0,0.0,
modflownwt,MODFLOW-NWT,70.0,1.4,0.0,0.0,
modflownwt,MODFLOW-NWT,80.0,1.6,0.0,0.0,
modflownwt,MODFLOW-NWT,90.0,1.8,9.770022302291181e-06,0.0,
modflownwt,MODFLOW-NWT,100.0,2.0,2.5064879594083322e-05,0.0,
modflownwt,MODFLOW-NWT,110.0,2.2,4.137145026561484e-05,0.0,
modflownwt,MODFLOW-NWT,120.0,2.4,5.8523508528196544e-05,0.0,
modflow6,MODFLOW 6,10.0,0.2,0.0016429779054992874,0.019936952982273937,
modflow6,MODFLOW 6,20.0,0.4,0.001429457292513433,0.013639654056635031,
modflow6,MODFLOW 6,30.0,0.6,0.001498827224679609,0.016329968139316975,
modflow6,MODFLOW 6,40.0,0.8,0.0016325813197001862,0.020346675002582693,
modflow6,MODFLOW 6,50.0,1.0,0.0018229555373122143,0.026057961098871374,
modflow6,MODFLOW 6,60.0,1.2,0.0020812326640487137,0.032966134612635756,
modflow6,MODFLOW 6,70.0,1.4,0.001412168331443468,0.01202690913865112,
modflow6,MODFLOW 6,80.0,1.6,0.0014102772048170465,0.013243910425951633,
modflow6,MODFLOW 6,90.0,1.8,0.0014921723463029155,0.0161912379370186,
modflow6,MODFLOW 6,100.0,2.0,0.0016301295434815247,0.020295443878858066,
modflow6,MODFLOW 6,110.0,2.2,0.001822104750773169,0.026039782374527753,
modflow6,MODFLOW 6,120.0,2.4,0.002081499094660044,0.03297185050164586,
boussinesq,Boussinesq,10.0,0.2,0.019794404692068102,-0.01042418950432289,7.917484723135098
boussinesq,Boussinesq,20.0,0.4,0.007256013450170856,-0.015388405124642013,7.04919675892147
boussinesq,Boussinesq,30.0,0.6,0.0026598289773341146,-0.01667965788295067,8.30444218521816
boussinesq,Boussinesq,40.0,0.8,0.0009750106228900963,-0.016706579453914294,9.372163061076408
boussinesq,Boussinesq,50.0,1.0,0.000357408587036673,-0.016152534552467124,10.433529854057465
boussinesq,Boussinesq,60.0,1.2,0.00013101487798496692,-0.01528808253969327,11.561660263978473
boussinesq,Boussinesq,70.0,1.4,4.802598169263207e-05,-0.014246358677616477,12.784956736902354
boussinesq,Boussinesq,80.0,1.6,1.7604832033129016e-05,-0.013095094534315344,14.116484402567806
boussinesq,Boussinesq,90.0,1.8,6.45338594824807e-06,-0.011875057373301523,15.565156279305851
boussinesq,Boussinesq,100.0,2.0,2.365614374724601e-06,-0.010616531953748343,17.13983126272663
boussinesq,Boussinesq,110.0,2.2,8.671588324205004e-07,-0.00934620229928651,18.850766323530312
boussinesq,Boussinesq,120.0,2.4,3.1787347128897637e-07,-0.008089945803187781,20.709970011644263
