solver,solver_label,elapsed_days,recharge_mm_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,30.0,0.6,9.019770743634581e-05,9.929554117843509,9.929644315550945,0.0,0.00018039541487269162,
modflownwt,MODFLOW-NWT,60.0,1.8,0.0010295800208837136,14.44534573238343,14.446375312404314,0.02082745234171579,0.0040338467002243306,
modflownwt,MODFLOW-NWT,90.0,3.0,0.005452922327719989,17.041641497053206,17.047094419380926,0.13647127151489258,0.04197151182978587,
modflownwt,MODFLOW-NWT,120.0,4.2,0.011456518183905473,17.72968720179051,17.741143719974417,0.22337102890014648,0.126113559532115,
modflownwt,MODFLOW-NWT,150.0,5.4,0.018112646566237345,18.212228338234127,18.230340984800364,0.2910472551981611,0.25098452502732016,
modflownwt,MODFLOW-NWT,180.0,7.2,0.021097357281973927,18.084754049777985,18.10585140705996,0.3055990537007647,0.32573093590428925,
modflownwt,MODFLOW-NWT,210.0,6.0,0.024104612873543374,18.323052395135164,18.347157008008708,0.33022451400756836,0.3960482968409451,
modflownwt,MODFLOW-NWT,240.0,4.8,0.02385003742588765,18.121923180297017,18.145773217722905,0.3218201001485186,0.3972001077535481,
modflownwt,MODFLOW-NWT,270.0,3.6,0.02529661391292848,18.336201715283096,18.361498329196024,0.3368395169576006,0.4284210517283782,
modflownwt,MODFLOW-NWT,300.0,2.4,0.02431915984288935,18.128170631825924,18.152489791668813,0.32450071970621774,0.4099642791629776,
modflownwt,MODFLOW-NWT,330.0,1.2,0.025460852913283816,18.337783380411565,18.36324423332485,0.3377257982889814,0.43293386910931986,
modflownwt,MODFLOW-NWT,360.0,0.6,0.02437954468064163,18.12883699312806,18.153216537808703,0.32482369740804007,0.41162371678069576,
modflow6,MODFLOW 6,30.0,0.6,0.02563149214261094,18.34036676704513,18.36599825918774,0.3387202354384682,0.43755966569278826,
modflow6,MODFLOW 6,60.0,1.8,0.02442462871855492,18.12860124159763,18.153025870316185,0.32499896846343646,0.41291740104156816,
modflow6,MODFLOW 6,90.0,3.0,0.025516323740417395,18.33921070308199,18.364727026822408,0.33808330553879085,0.43440393559421864,
modflow6,MODFLOW 6,120.0,4.2,0.02438388047308316,18.128145258018545,18.15252913849163,0.3247832631524874,0.411797048852236,
modflow6,MODFLOW 6,150.0,5.4,0.02550113029329525,18.339048428199156,18.364549558492453,0.33800272059426817,0.4339860612049051,
modflow6,MODFLOW 6,180.0,7.2,0.024378245326025692,18.128084260852525,18.15246250617855,0.32475348425742734,0.4116420159164136,
modflow6,MODFLOW 6,210.0,6.0,0.02549903696965184,18.33902594703897,18.36452498400862,0.3379916456108738,0.43392849611336715,
modflow6,MODFLOW 6,240.0,4.8,0.02437746818897437,18.12807588485773,18.152453353046702,0.3247493743358847,0.41162064102593376,
modflow6,MODFLOW 6,270.0,3.6,0.02549874835876708,18.339022842182615,18.364521590541383,0.33799011916013466,0.4339205235794452,
modflow6,MODFLOW 6,300.0,2.4,0.02437736103126912,18.128074730613392,18.152452091644662,0.32474880756519386,0.411617718719981,
modflow6,MODFLOW 6,330.0,1.2,0.02549870856440714,18.33902241397881,18.364521122543216,0.33798990869834356,0.4339194300598592,
modflow6,MODFLOW 6,360.0,0.6,0.024377346255881793,18.128074571475032,18.152451917730914,0.3247487294151057,0.4116173028450021,
boussinesq,Boussinesq,30.0,0.6,0.008732072456419075,4.858571293154718,12.25128450145607,-0.014877714131218411,,7.383981135844932
boussinesq,Boussinesq,60.0,1.8,0.0014120427653823812,5.644239355932229,19.755444808870106,-0.013245313217319143,,14.109793410172495
boussinesq,Boussinesq,90.0,3.0,0.00022833809319570267,5.771287878404259,28.759188046886358,-0.008296852081197237,,22.9876718303889
boussinesq,Boussinesq,120.0,4.2,3.6924003754961634e-05,5.791832595186402,41.81079817838387,-0.0038098756732516392,,36.01892865919371
boussinesq,Boussinesq,150.0,5.4,5.9708946262162505e-06,5.79515483161338,59.24144878109429,-0.0015007178070352012,,53.446287978586284
boussinesq,Boussinesq,180.0,7.2,9.655392338459024e-07,5.795692062750497,85.98732656625772,-0.00047905274786774754,,80.19163353796799
boussinesq,Boussinesq,210.0,6.0,1.56135062127305e-07,5.7957789371259345,79.17279752781616,-0.00016968281590301615,,73.37701843455517
boussinesq,Boussinesq,240.0,4.8,2.5248232304875275e-08,5.795792985375241,67.63440323013882,-6.939330584909698e-05,,61.838610219515346
boussinesq,Boussinesq,270.0,3.6,4.08283122510511e-09,5.795795257084558,54.53801028865247,-3.333969308805251e-05,,48.74221502748508
boussinesq,Boussinesq,300.0,2.4,6.602237476727169e-10,5.795795624437357,41.72788352096472,-1.9389335473185554e-05,,35.932087895867134
boussinesq,Boussinesq,330.0,1.2,1.0676336614778849e-10,5.795795683840962,30.325658756532874,-1.4259018408679935e-05,,24.529863072585147
boussinesq,Boussinesq,360.0,0.6,2.225573325631558e-11,5.795795692911272,25.78979622036086,-1.2205926864794492e-05,,19.994000527427332
