solver,solver_label,elapsed_days,recharge_mm_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,30.0,0.6,0.0,6.027987162815407,6.027987162815407,0.0,0.0,
modflownwt,MODFLOW-NWT,60.0,1.8,5.7960563992764946e-05,8.81543856812641,8.815496528690403,0.0,0.00011592112798552989,
modflownwt,MODFLOW-NWT,90.0,3.0,6.706968633807264e-05,9.1302499640733,9.130317033759638,0.0,0.00013413937267614529,
modflownwt,MODFLOW-NWT,120.0,4.2,9.040314523645065e-05,9.93665432324633,9.936744726391566,0.0,0.0001808062904729013,
modflownwt,MODFLOW-NWT,150.0,5.4,0.0004495087139844145,12.74349574232474,12.743945251038724,0.0,0.0013516113241962557,
modflownwt,MODFLOW-NWT,180.0,7.2,0.0011135309577525732,13.887617038562894,13.888730569520646,0.014819304148356416,0.004851479478418241,
modflownwt,MODFLOW-NWT,210.0,6.0,0.0008310281540246933,13.225665665231645,13.22649669338567,0.0027375221252441406,0.003337931259395077,
modflownwt,MODFLOW-NWT,240.0,4.8,0.0009364596706973316,13.342384819407016,13.343321279077713,0.005016009012858369,0.0039815820969124616,
modflownwt,MODFLOW-NWT,270.0,3.6,0.0031579665005665447,15.075395058374852,15.078553024875418,0.06634871164957712,0.021882683120111324,
modflownwt,MODFLOW-NWT,300.0,2.4,0.0044168020167489885,15.232985105831176,15.237401907847925,0.08742141723632812,0.036616789947174766,
modflownwt,MODFLOW-NWT,330.0,1.2,0.002671407316201524,14.19609203003347,14.19876343734967,0.042236328125,0.019175169389429314,
modflownwt,MODFLOW-NWT,360.0,0.6,0.0025182701655523942,14.155934646259993,14.158452916425546,0.03907028834025095,0.01754972084100359,
modflownwt,MODFLOW-NWT,390.0,0.0,0.005784542526043879,15.569809055887163,15.575593598413207,0.11160135269165039,0.05392009085767313,
modflownwt,MODFLOW-NWT,420.0,0.0,0.006485675342560171,15.48383398912847,15.49031966447103,0.11734183629353812,0.0657049907175633,
modflownwt,MODFLOW-NWT,450.0,0.0,0.003674749628146401,14.379718888085335,14.383393637713482,0.059255758921305635,0.03136659372984241,
modflownwt,MODFLOW-NWT,480.0,0.0,0.0032851456239768595,14.319044176954776,14.322329322578753,0.053024609883626006,0.026374095384085194,
modflownwt,MODFLOW-NWT,510.0,0.0,0.00683141812771737,15.674783277790993,15.68161469591871,0.12563848495483398,0.06952469092027513,
