solver,solver_label,elapsed_days,recharge_mm_day,recharge_flux_m3_day,drainage_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,max_clearance_m,accumulation_proxy_m3_day,surface_excess_flux_m3_day
modflownwt,MODFLOW-NWT,15.0,0.6,7.199999999999999,0.0,1.1915498762391508,1.1915498762391508,6.0084501237608485,0.0,0.0,
modflownwt,MODFLOW-NWT,30.0,0.6,7.199999999999999,0.0,1.8294653302291408,1.8294653302291408,5.3705346697708585,0.0,0.0,
modflownwt,MODFLOW-NWT,45.0,1.8,21.599999999999998,0.0,4.702097433619201,4.702097433619201,16.897902566380797,0.0,0.0,
modflownwt,MODFLOW-NWT,60.0,1.8,21.599999999999998,0.0,6.381158495787531,6.381158495787531,15.218841504212467,0.0,0.0,
modflownwt,MODFLOW-NWT,75.0,3.0,36.0,0.6882216461235657,9.56518555758521,10.253407203708775,25.746592796291225,0.0,1.3764432922471315,
modflownwt,MODFLOW-NWT,90.0,3.0,36.0,1.7087298574097076,11.147071968298405,12.855801825708113,23.144198174291887,0.0,4.07424285781417,
modflownwt,MODFLOW-NWT,105.0,4.2,50.400000000000006,6.768292144624866,12.578932160977274,19.34722430560214,31.052775694397866,0.0,28.681172786673415,
modflownwt,MODFLOW-NWT,120.0,4.2,50.400000000000006,12.60991442049999,12.715479964390397,25.325394384890387,25.07460561510962,0.004823525746663115,80.51898820576753,
modflownwt,MODFLOW-NWT,135.0,5.4,64.8,26.01276325258368,13.291355373803526,39.30411862638721,25.49588137361279,0.03611278533935547,252.5888681801007,
modflownwt,MODFLOW-NWT,150.0,5.4,64.8,35.50426417059498,13.29226439120248,48.79652856179746,16.00347143820254,0.055828889211018584,446.41864086079295,
modflownwt,MODFLOW-NWT,165.0,7.2,86.39999999999999,60.42810180406377,14.135544933378696,74.56364673744247,11.836353262557523,0.09499740600585938,963.9219450142264,
modflownwt,MODFLOW-NWT,180.0,7.2,86.39999999999999,67.56388466801582,14.135547762271017,81.69943243028683,4.700567569713158,0.1072988510131836,1187.4555956359472,
modflownwt,MODFLOW-NWT,195.0,6.0,72.0,56.60682394536707,13.573334331158549,70.18015827652562,1.8198417234743829,0.09442679087320904,987.0322590833894,
modflownwt,MODFLOW-NWT,210.0,6.0,72.0,56.61608446680475,13.573391537647694,70.18947600445244,1.8105239955475554,0.09443378448486328,987.3204115334374,
modflownwt,MODFLOW-NWT,225.0,4.8,57.599999999999994,43.932120013050735,13.011233427096158,56.94335344014689,0.656646559853101,0.07774798075358014,731.0369411170541,
modflownwt,MODFLOW-NWT,240.0,4.8,57.599999999999994,43.46732309386425,13.0112299695611,56.47855306342535,1.1214469365746425,0.07678286234537701,716.4220623726578,
modflownwt,MODFLOW-NWT,255.0,3.6,43.199999999999996,31.100505438917025,12.449066201224923,43.54957164014195,-0.34957164014195286,0.05839474995931049,474.52330069118034,
modflownwt,MODFLOW-NWT,270.0,3.6,43.199999999999996,30.39427058029105,12.449069658759981,42.84334023905103,0.3566597609489648,0.05646642049153705,453.81171203625854,
modflownwt,MODFLOW-NWT,285.0,2.4,28.799999999999997,18.87139584086981,11.886906519066542,30.75830235993635,-1.9583023599363543,0.03518231709798236,244.54443225495197,
modflownwt,MODFLOW-NWT,300.0,2.4,28.799999999999997,17.99773569637182,11.886902747210115,29.884638443581935,-1.0846384435819374,0.03111759821573923,222.60325735605875,
modflownwt,MODFLOW-NWT,315.0,1.2,14.399999999999999,8.18570564588299,11.32467077113688,19.51037641701987,-5.1103764170198716,0.0033783912658691406,70.7789099558795,
modflownwt,MODFLOW-NWT,330.0,1.2,14.399999999999999,7.308962454453649,11.324475577566773,18.633438032020422,-4.233438032020423,0.0,55.40202338893323,
modflownwt,MODFLOW-NWT,345.0,0.6,7.199999999999999,3.680074205612982,11.039619008079171,14.719693213692153,-7.519693213692154,0.0,16.12947068001631,
modflownwt,MODFLOW-NWT,360.0,0.6,7.199999999999999,3.086055426410894,11.02502946741879,14.111084893829684,-6.911084893829685,0.0,11.195157231941266,
modflownwt,MODFLOW-NWT,375.0,0.0,0.0,1.4377908819369623,10.478850512299687,11.916641394236649,-11.916641394236649,0.0,3.475478678046784,
modflownwt,MODFLOW-NWT,390.0,0.0,0.0,1.0022671882325085,10.039738530758768,11.042005718991277,-11.042005718991277,0.0,2.19994167528057,
modflownwt,MODFLOW-NWT,405.0,0.0,0.0,0.6792671214498114,9.529367065988481,10.208634187438292,-10.208634187438292,0.0,1.3585342428996228,
modflownwt,MODFLOW-NWT,420.0,0.0,0.0,0.5297170806443319,8.931167295668274,9.460884376312606,-9.460884376312606,0.0,1.0594341612886637,
modflownwt,MODFLOW-NWT,435.0,0.0,0.0,0.3856467221339699,8.354886411689222,8.740533133823192,-8.740533133823192,0.0,0.7712934442679398,
modflownwt,MODFLOW-NWT,450.0,0.0,0.0,0.25184841542795766,7.819692988414317,8.071541403842275,-8.071541403842275,0.0,0.5036968308559153,
modflownwt,MODFLOW-NWT,465.0,0.0,0.0,0.12814784477086505,7.324890804011375,7.45303864878224,-7.45303864878224,0.0,0.2562956895417301,
modflownwt,MODFLOW-NWT,480.0,0.0,0.0,0.014348908621286682,6.869695312343538,6.8840442209648245,-6.8840442209648245,0.0,0.028697817242573365,
modflownwt,MODFLOW-NWT,495.0,0.0,0.0,0.0,6.377441488439217,6.377441488439217,-6.377441488439217,0.0,0.0,
modflownwt,MODFLOW-NWT,510.0,0.0,0.0,0.0,5.90094585204497,5.90094585204497,-5.90094585204497,0.0,0.0,
modflownwt,MODFLOW-NWT,525.0,0.0,0.0,0.0,5.460040981415659,5.460040981415659,-5.460040981415659,0.0,0.0,
modflownwt,MODFLOW-NWT,540.0,0.0,0.0,0.0,5.052860593423247,5.052860593423247,-5.052860593423247,0.0,0.0,
modflownwt,MODFLOW-NWT,555.0,0.0,0.0,0.0,4.675760288955644,4.675760288955644,-4.675760288955644,0.0,0.0,
modflownwt,MODFLOW-NWT,570.0,0.0,0.0,0.0,4.328454821370542,4.328454821370542,-4.328454821370542,0.0,0.0,
modflownwt,MODFLOW-NWT,585.0,0.0,0.0,0.0,4.0073988027870655,4.0073988027870655,-4.0073988027870655,0.0,0.0,
modflownwt,MODFLOW-NWT,600.0,0.0,0.0,0.0,3.7109680561115965,3.7109680561115965,-3.7109680561115965,0.0,0.0,
modflownwt,MODFLOW-NWT,615.0,0.0,0.0,0.0,3.4371431451290846,3.4371431451290846,-3.4371431451290846,0.0,0.0,
