point_id,point_label,x_m,solver,solver_label,elapsed_days,head_m,clearance_m
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,30.0,5.235231081644694,-4.702268918355306
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,60.0,5.74423885345459,-4.19326114654541
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,90.0,6.552780310312907,-3.384719689687093
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,120.0,7.613909562428792,-2.323590437571208
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,150.0,8.793497721354166,-1.144002278645834
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,180.0,9.796134312947592,-0.14136568705240826
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,210.0,9.920329411824545,-0.017170588175455137
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,240.0,9.769424438476562,-0.1680755615234375
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,270.0,9.558797200520834,-0.3787027994791661
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,300.0,9.273225466410318,-0.6642745335896816
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,330.0,8.866441408793131,-1.071058591206869
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,360.0,8.445944468180338,-1.491555531819662
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,390.0,7.959676583607991,-1.9778234163920088
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,420.0,7.556293805440267,-2.3812061945597334
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,450.0,7.214913209279378,-2.722586790720622
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,480.0,6.923629601796468,-3.013870398203532
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,510.0,6.673417886098226,-3.2640821139017744
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,540.0,6.458179155985515,-3.4793208440144854
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,570.0,6.272541205088298,-3.664958794911702
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,600.0,6.112385272979736,-3.8251147270202637
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,630.0,5.973914623260498,-3.963585376739502
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,660.0,5.854084650675456,-4.083415349324544
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,690.0,5.7504754066467285,-4.1870245933532715
upper_slope,Upper slope,5.0,modflownwt,MODFLOW-NWT,720.0,5.66061004002889,-4.27688995997111
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,30.0,5.236352918417838,-4.701147081582162
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,60.0,5.744882398442805,-4.192617601557195
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,90.0,6.554405220522505,-3.383094779477495
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,120.0,7.616321900557895,-2.321178099442105
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,150.0,8.794612567234578,-1.1428874327654217
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,180.0,9.796887023683261,-0.14061297631673852
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,210.0,9.920050414629545,-0.017449585370455267
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,240.0,9.76895323339176,-0.1685467666082392
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,270.0,9.558015724031478,-0.3794842759685224
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,300.0,9.271803481568227,-0.6656965184317727
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,330.0,8.86382658471136,-1.0736734152886402
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,360.0,8.442842723667265,-1.4946572763327346
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,390.0,7.955738939267718,-1.981761060732282
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,420.0,7.550415245411358,-2.387084754588642
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,450.0,7.207881218752294,-2.729618781247706
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,480.0,6.915697002505039,-3.0218029974949614
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,510.0,6.665070322497731,-3.272429677502269
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,540.0,6.449348673092689,-3.4881513269073112
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,570.0,6.26321503662009,-3.67428496337991
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,600.0,6.102543950251998,-3.834956049748002
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,630.0,5.96366758764371,-3.9738324123562903
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,660.0,5.843571733355195,-4.093928266644805
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,690.0,5.739663163496854,-4.197836836503146
upper_slope,Upper slope,5.0,modflow6,MODFLOW 6,720.0,5.649735315058763,-4.287764684941237
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,30.0,5.229942383439223,-4.707557616560777
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,60.0,5.710416241156891,-4.227083758843109
upper_slope,Upper slope,5.0,boussinesq,Boussinesq,90.0,6.444200542677993,-3.4932994573220073
