component,unit,time_index,elapsed_seconds,time_label,value__boussinesq_petsc_mixed,value__boussinesq_petsc_partition,value__boussinesq_scipy_sparse
drainage_total_m3_s,m3/s,0,0.0,0.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,1,864000.0,10.0 d,0.0,0.0007585660458519765,0.0007585660268210014
drainage_total_m3_s,m3/s,2,1728000.0,20.0 d,0.0,0.0007141814061079117,0.0007141808778918063
drainage_total_m3_s,m3/s,3,2592000.0,30.0 d,0.0,0.0006766671332145834,0.0006766666065197279
drainage_total_m3_s,m3/s,4,3456000.0,40.0 d,1.034550223266706e-16,0.0006510445707121151,0.0006510441494719173
drainage_total_m3_s,m3/s,5,4320000.0,50.0 d,1.6569856597925537e-16,0.0006296402307740493,0.0006296398918076104
drainage_total_m3_s,m3/s,6,5184000.0,60.0 d,0.0,0.0002201896712129222,0.00022018967121288316
drainage_total_m3_s,m3/s,7,6048000.0,70.0 d,0.0,6.17180343273418e-05,6.171803432728312e-05
drainage_total_m3_s,m3/s,8,6912000.0,80.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,9,7776000.0,90.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,10,8640000.0,100.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,11,9504000.0,110.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,12,10368000.0,120.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,13,11232000.0,130.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,14,12096000.0,140.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,15,12960000.0,150.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,16,13824000.0,160.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,17,14688000.0,170.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,18,15552000.0,180.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,19,16416000.0,190.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,20,17280000.0,200.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,21,18144000.0,210.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,22,19008000.0,220.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,23,19872000.0,230.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,24,20736000.0,240.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,25,21600000.0,250.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,26,22464000.0,260.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,27,23328000.0,270.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,28,24192000.0,280.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,29,25056000.0,290.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,30,25920000.0,300.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,31,26784000.0,310.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,32,27648000.0,320.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,33,28512000.0,330.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,34,29376000.0,340.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,35,30240000.0,350.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,36,31104000.0,360.0 d,0.0,0.0,0.0
drainage_total_m3_s,m3/s,37,31968000.0,370.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,0,0.0,0.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,1,864000.0,10.0 d,1.8341497746745772,1.8341497746745772,1.8341497746745772
recharge_total_m3_s,m3/s,2,1728000.0,20.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,3,2592000.0,30.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,4,3456000.0,40.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,5,4320000.0,50.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,6,5184000.0,60.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,7,6048000.0,70.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,8,6912000.0,80.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,9,7776000.0,90.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,10,8640000.0,100.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,11,9504000.0,110.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,12,10368000.0,120.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,13,11232000.0,130.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,14,12096000.0,140.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,15,12960000.0,150.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,16,13824000.0,160.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,17,14688000.0,170.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,18,15552000.0,180.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,19,16416000.0,190.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,20,17280000.0,200.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,21,18144000.0,210.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,22,19008000.0,220.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,23,19872000.0,230.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,24,20736000.0,240.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,25,21600000.0,250.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,26,22464000.0,260.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,27,23328000.0,270.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,28,24192000.0,280.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,29,25056000.0,290.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,30,25920000.0,300.0 d,33.931770831479675,33.931770831479675,33.931770831479675
recharge_total_m3_s,m3/s,31,26784000.0,310.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,32,27648000.0,320.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,33,28512000.0,330.0 d,-25.44882812360975,-25.44882812360975,-25.44882812360975
recharge_total_m3_s,m3/s,34,29376000.0,340.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,35,30240000.0,350.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,36,31104000.0,360.0 d,0.0,0.0,0.0
recharge_total_m3_s,m3/s,37,31968000.0,370.0 d,0.0,0.0,0.0
surface_excess_total_m3_s,m3/s,0,0.0,0.0 d,0.0,0.0,0.0
surface_excess_total_m3_s,m3/s,1,864000.0,10.0 d,0.6202041707364617,0.03690416562660937,0.03690416562679212
surface_excess_total_m3_s,m3/s,2,1728000.0,20.0 d,0.005396662120426962,0.0004018248716015425,0.0004018258987839244
surface_excess_total_m3_s,m3/s,3,2592000.0,30.0 d,0.00518519428300468,0.0004334477090946764,0.00043344866443105414
surface_excess_total_m3_s,m3/s,4,3456000.0,40.0 d,0.6586518099459236,0.7726382577937746,0.772638257414507
surface_excess_total_m3_s,m3/s,5,4320000.0,50.0 d,0.8516171008668948,0.902948582862933,0.9029485826596277
surface_excess_total_m3_s,m3/s,6,5184000.0,60.0 d,0.0,0.004404203629172088,0.004404203627462842
surface_excess_total_m3_s,m3/s,7,6048000.0,70.0 d,0.0,0.0024619748018149495,0.0024619753735306087
surface_excess_total_m3_s,m3/s,8,6912000.0,80.0 d,0.0,0.0013581513361484773,0.0013581514580121479
surface_excess_total_m3_s,m3/s,9,7776000.0,90.0 d,0.0,0.0003813081913325176,0.0003813082275272485
surface_excess_total_m3_s,m3/s,10,8640000.0,100.0 d,6.940601149482066e-14,0.14243092996199294,0.1424309245529242
surface_excess_total_m3_s,m3/s,11,9504000.0,110.0 d,6.858217046707954e-14,0.3090241295947467,0.3090241240694076
surface_excess_total_m3_s,m3/s,12,10368000.0,120.0 d,0.07072769470325102,0.5559214187428817,0.555921411887174
surface_excess_total_m3_s,m3/s,13,11232000.0,130.0 d,0.0,0.002313548356886648,0.0023135490005672457
surface_excess_total_m3_s,m3/s,14,12096000.0,140.0 d,0.0,0.0006483514797505618,0.0006483517156826729
surface_excess_total_m3_s,m3/s,15,12960000.0,150.0 d,0.0,0.00018179519466528222,0.00018179523147039342
surface_excess_total_m3_s,m3/s,16,13824000.0,160.0 d,6.854503439851098e-14,0.07087551037643174,0.07087550626059098
surface_excess_total_m3_s,m3/s,17,14688000.0,170.0 d,0.005932948123389469,0.24256658750182622,0.24256657481492774
surface_excess_total_m3_s,m3/s,18,15552000.0,180.0 d,0.7594074552871883,0.5555506474009221,0.5555506247090549
surface_excess_total_m3_s,m3/s,19,16416000.0,190.0 d,0.0,0.002647583706038692,0.0026475811057549412
surface_excess_total_m3_s,m3/s,20,17280000.0,200.0 d,0.0,0.0007350405235595091,0.0007350403683928134
surface_excess_total_m3_s,m3/s,21,18144000.0,210.0 d,0.0,0.0002048067169373931,0.00020480687805308188
surface_excess_total_m3_s,m3/s,22,19008000.0,220.0 d,6.78632937083839e-14,0.07264652618872479,0.07264652976719463
surface_excess_total_m3_s,m3/s,23,19872000.0,230.0 d,0.011885356669577784,0.2575079919854482,0.2575081896317393
surface_excess_total_m3_s,m3/s,24,20736000.0,240.0 d,0.857346563922254,0.6025129557959938,0.6025131560440748
surface_excess_total_m3_s,m3/s,25,21600000.0,250.0 d,0.0,0.0033505820603936774,0.003350579432694046
surface_excess_total_m3_s,m3/s,26,22464000.0,260.0 d,0.0,0.0009287451801020807,0.0009287452289081295
surface_excess_total_m3_s,m3/s,27,23328000.0,270.0 d,0.0,0.00025800839241584786,0.00025800850246359276
surface_excess_total_m3_s,m3/s,28,24192000.0,280.0 d,6.76659761422759e-14,0.07954997629981764,0.0795499788487831
surface_excess_total_m3_s,m3/s,29,25056000.0,290.0 d,0.01831910281738254,0.28180606117256113,0.28180630574055515
surface_excess_total_m3_s,m3/s,30,25920000.0,300.0 d,0.9609224430808673,0.6550402772285208,0.6550405381145142
surface_excess_total_m3_s,m3/s,31,26784000.0,310.0 d,0.0,0.004224783163361898,0.0042247947402490015
surface_excess_total_m3_s,m3/s,32,27648000.0,320.0 d,0.0,0.0011739453049517162,0.0011739471321061475
surface_excess_total_m3_s,m3/s,33,28512000.0,330.0 d,0.0,0.00032677907891185375,0.00032677910356676196
surface_excess_total_m3_s,m3/s,34,29376000.0,340.0 d,0.0,0.0003274076212775701,0.0003274075460032198
surface_excess_total_m3_s,m3/s,35,30240000.0,350.0 d,0.0,0.0003287134371606018,0.00032871334913285203
surface_excess_total_m3_s,m3/s,36,31104000.0,360.0 d,0.0,0.00033057740999896173,0.00033057732888620774
surface_excess_total_m3_s,m3/s,37,31968000.0,370.0 d,0.0,0.0003328626635000486,0.00033286259817708703
well_total_m3_s,m3/s,0,0.0,0.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,1,864000.0,10.0 d,0.0,0.0,0.0
well_total_m3_s,m3/s,2,1728000.0,20.0 d,0.0,0.0,0.0
