comparison_id,observable,variable,support,unit,comparison_time_key,time,time_index,elapsed_seconds,value_index,value__boussinesq_petsc_mixed,value__boussinesq_petsc_partition,value__boussinesq_scipy_sparse,value__mf6_heterogeneous_10day
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:0,0,0,,0,75.0,75.0,75.0,77.01497708031239
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:1,1,1,,0,75.21583988965872,75.14219608795736,75.14219608986694,76.92989929558267
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:2,2,2,,0,75.21468937469166,75.14663740687524,75.14663740863544,76.88084024203943
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:3,3,3,,0,75.21254575161585,75.14983452243395,75.14983452368405,191.7550801411714
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:4,4,4,,0,77.61835095708949,76.58828802122784,76.5882880217827,305.8230879864082
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:5,5,5,,0,77.61835095708935,77.22767176093791,77.22767176116267,212.6861650981389
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:6,6,6,,0,75.0872042269243,74.49151031279327,74.49151031554673,165.35274972669797
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:7,7,7,,0,72.45535129215466,71.75843765785336,71.7584378117192,139.3351443983957
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:8,8,8,,0,69.73966857728183,68.98203257134857,68.98203263826016,124.05567331335097
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:9,9,9,,0,66.96178361033438,66.16241925764514,66.1624189889521,296.05144721413734
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:10,10,10,,0,71.1675979763037,70.14102336019944,70.14102317230301,426.55685599939034
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:11,11,11,,0,75.35772065847371,73.5516620248214,73.55166189684802,565.19632977814
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:12,12,12,,0,77.61835095708935,75.80248330423511,75.80248323661762,474.85625622122984
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:13,13,13,,0,75.02348574921224,73.0594083247465,73.0594082554495,417.88145340606405
review_10day_heterogeneous_boussinesq_vs_mf6,head_reference_cell,watertable_elevation,point,m,time_index:14,14,14,,0,72.32938870660112,70.29447396065466,70.29447303726019,380.1569002113799
