=== TOP 120 CUMULATIVE ===
         90195523 function calls (86885269 primitive calls) in 138.869 seconds

   Ordered by: cumulative time
   List reduced from 2992 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002  138.876  138.876 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:737(run_twin_benchmark_case)
       27    0.002    0.000  134.107    4.967 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:3338(execute_candidate_run)
        1    0.000    0.000  131.815  131.815 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:121(calibrate)
        1    0.000    0.000  130.895  130.895 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:303(calibrate)
        1    0.000    0.000  130.895  130.895 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods_dispatcher.py:124(calibrate)
        1    0.016    0.016  130.895  130.895 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:209(delayed_acceptance_gp_mh_calibrate)
       26    0.000    0.000  130.845    5.032 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:342(_cached_logposterior)
       26    0.001    0.000  130.843    5.032 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:323(_logposterior)
       27    0.000    0.000  130.841    4.846 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:284(cost)
       28    0.000    0.000  130.839    4.673 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:250(_evaluate_composite)
       28    0.001    0.000  130.838    4.673 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:1835(evaluate)
       27    0.002    0.000   92.318    3.419 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:325(run_prepared)
       27    0.000    0.000   92.115    3.412 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:129(execute)
       27    0.000    0.000   92.114    3.412 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:178(_run_process_run)
       27    0.001    0.000   92.113    3.412 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow6.py:24(execute)
