=== TOP 120 CUMULATIVE ===
         81148461 function calls (78184155 primitive calls) in 123.768 seconds

   Ordered by: cumulative time
   List reduced from 6190 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002  123.780  123.780 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:737(run_twin_benchmark_case)
       24    0.002    0.000  116.090    4.837 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:3338(execute_candidate_run)
        1    0.000    0.000  115.605  115.605 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:121(calibrate)
        1    0.000    0.000  112.647  112.647 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:303(calibrate)
        1    0.000    0.000  112.647  112.647 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods_dispatcher.py:124(calibrate)
        1    0.000    0.000  112.647  112.647 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\simplex.py:46(simplex_calibrate)
        1    0.000    0.000  112.647  112.647 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:541(fmin)
        1    0.002    0.002  112.647  112.647 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:666(_minimize_neldermead)
       23    0.001    0.000  112.644    4.898 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:521(function_wrapper)
       23    0.001    0.000  112.643    4.898 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\simplex.py:33(_penalized_cost)
       24    0.000    0.000  112.641    4.693 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:284(cost)
       25    0.000    0.000  112.638    4.506 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:250(_evaluate_composite)
       25    0.001    0.000  112.638    4.506 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:1835(evaluate)
       24    0.002    0.000   81.149    3.381 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:325(run_prepared)
       24    0.000    0.000   80.974    3.374 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:129(execute)
       24    0.000    0.000   80.973    3.374 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:178(_run_process_run)
       24    0.000    0.000   80.972    3.374 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow6.py:24(execute)
       24    0.021    0.001   80.964    3.373 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow_common.py:131(run_flow_model)
       24    0.001    0.000   64.863    2.703 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1483(processing)
       24    0.005    0.000   50.891    2.120 C:\Python312\Lib\site-packages\flopy\mf6\mfsimbase.py:1697(write_simulation)
      264    0.010    0.000   50.862    0.193 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:3297(write)
       24    0.008    0.000   50.235    2.093 C:\Python312\Lib\site-packages\flopy\mf6\mfmodel.py:1350(write)
      264    0.007    0.000   41.709    0.158 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:3446(_write_blocks)
      768    0.021    0.000   41.694    0.054 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1268(write)
     5016    0.158    0.000   38.020    0.008 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1506(_write_block)
       24    0.004    0.000   34.115    1.421 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2922(select_candidate_outputs)
       24    0.000    0.000   34.111    1.421 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:744(select_candidate_outputs_from_selectors)
       24    0.001    0.000   33.925    1.414 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:436(canonicalize_run_outputs)
       24    0.003    0.000   33.924    1.413 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:402(_iter_runtime_model_variables)
       23    0.002    0.000   32.912    1.431 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2945(evaluate_candidate_objective)
       96    0.017    0.000   32.456    0.338 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:373(_canonicalize_model_payload)
     5760    0.040    0.000   32.430    0.006 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:347(_canonicalize_model_slice)
     4320    0.020    0.000   32.329    0.007 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:322(_model_cell_coordinates)
     4320    0.050    0.000   32.247    0.007 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:267(_coordinates_from_solver_mesh)
     4320    7.850    0.002   32.181    0.007 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow_common\solver_mesh.py:112(cell_centroids)
     1440    0.006    0.000   27.357    0.019 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2583(write_file_entry)
     1440    0.016    0.000   27.326    0.019 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1745(write_file_entry)
     1440    0.079    0.000   27.310    0.019 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1791(_write_file_entry)
  2172000    1.865    0.000   24.424    0.000 {method 'mean' of 'numpy.ndarray' objects}
  2172175    7.163    0.000   22.564    0.000 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\numpy\_core\_methods.py:119(_mean)
       24    0.002    0.000   13.971    0.582 C:\Python312\Lib\site-packages\flopy\mf6\mfsimbase.py:1803(run_simulation)
       24    0.024    0.001   13.968    0.582 C:\Python312\Lib\site-packages\flopy\mbase.py:1668(run_model)
     2232   13.714    0.006   13.714    0.006 {method 'readline' of '_io.BufferedReader' objects}
     1440    0.105    0.000   11.453    0.008 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1583(_increment_id_fields)
     1440    0.088    0.000   11.138    0.008 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1593(_decrement_id_fields)
    11520    0.181    0.000   10.157    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:882(__setitem__)
       24    0.022    0.001    8.090    0.337 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1270(pre_processing)
    11520    0.157    0.000    7.918    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:1785(_setitem_with_indexer)
        1    0.000    0.000    7.745    7.745 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:286(synthesize_truth_observations)
  2326710    7.606    0.000    7.606    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     4680    0.010    0.000    7.252    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1217(get_file_entry)
     4680    0.055    0.000    7.242    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1237(_get_file_entry)
      264    0.022    0.000    7.163    0.027 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:2505(_update_size_defs)
     1440    0.013    0.000    7.111    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2342(get_data)
     3120    0.035    0.000    7.068    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1405(_get_file_entry_layer)
     1440    0.016    0.000    7.020    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1679(get_data)
     1440    0.012    0.000    7.003    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1640(_get_data)
     4320    0.018    0.000    6.974    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:2183(get_file_entry)
     3072    0.026    0.000    6.962    0.002 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataarray.py:1514(_get_data_layer_string)
     1440    0.008    0.000    6.784    0.005 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1633(_dataframe_to_recarray)
