=== TOP 120 CUMULATIVE ===
         75213680 function calls (71746190 primitive calls) in 105.090 seconds

   Ordered by: cumulative time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  105.098  105.098 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:737(run_twin_benchmark_case)
       27    0.002    0.000  100.714    3.730 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:3338(execute_candidate_run)
        1    0.000    0.000   98.381   98.381 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:121(calibrate)
        1    0.000    0.000   97.112   97.112 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:303(calibrate)
        1    0.000    0.000   97.111   97.111 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods_dispatcher.py:124(calibrate)
        1    0.004    0.004   97.111   97.111 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:209(delayed_acceptance_gp_mh_calibrate)
       26    0.000    0.000   97.073    3.734 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:342(_cached_logposterior)
       26    0.001    0.000   97.071    3.734 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:323(_logposterior)
       27    0.000    0.000   97.069    3.595 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:284(cost)
       28    0.000    0.000   97.067    3.467 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:250(_evaluate_composite)
       28    0.001    0.000   97.067    3.467 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:1835(evaluate)
       27    0.003    0.000   81.547    3.020 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:325(run_prepared)
       27    0.000    0.000   81.337    3.012 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:129(execute)
       27    0.000    0.000   81.336    3.012 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:178(_run_process_run)
       27    0.000    0.000   81.335    3.012 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow6.py:24(execute)
       27    0.008    0.000   81.326    3.012 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow_common.py:132(run_flow_model)
       27    0.001    0.000   71.598    2.652 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1483(processing)
       27    0.006    0.000   53.258    1.973 C:\Python312\Lib\site-packages\flopy\mf6\mfsimbase.py:1697(write_simulation)
      297    0.018    0.000   53.223    0.179 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:3297(write)
       27    0.011    0.000   52.442    1.942 C:\Python312\Lib\site-packages\flopy\mf6\mfmodel.py:1350(write)
      297    0.009    0.000   43.733    0.147 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:3446(_write_blocks)
      864    0.022    0.000   43.714    0.051 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1268(write)
     5643    0.169    0.000   40.387    0.007 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1506(_write_block)
     1620    0.007    0.000   30.272    0.019 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2583(write_file_entry)
     1620    0.021    0.000   30.241    0.019 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1745(write_file_entry)
     1620    0.092    0.000   30.220    0.019 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1791(_write_file_entry)
       27    0.002    0.000   18.339    0.679 C:\Python312\Lib\site-packages\flopy\mf6\mfsimbase.py:1803(run_simulation)
       27    0.033    0.001   18.336    0.679 C:\Python312\Lib\site-packages\flopy\mbase.py:1668(run_model)
     2511   18.008    0.007   18.008    0.007 {method 'readline' of '_io.BufferedReader' objects}
       27    0.002    0.000   17.657    0.654 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2922(select_candidate_outputs)
       27    0.001    0.000   17.655    0.654 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:1045(select_candidate_outputs_from_selectors)
       27    0.001    0.000   17.471    0.647 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:713(canonicalize_run_outputs)
       27    0.002    0.000   17.470    0.647 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:672(_iter_runtime_model_variables)
       26    0.002    0.000   17.208    0.662 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:2945(evaluate_candidate_objective)
     1620    0.145    0.000   12.749    0.008 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1583(_increment_id_fields)
     1620    0.110    0.000   12.214    0.008 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1593(_decrement_id_fields)
    12960    0.220    0.000   11.121    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:882(__setitem__)
       54    0.006    0.000   10.161    0.188 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:643(_canonicalize_model_payload)
     3240    0.016    0.000   10.149    0.003 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:617(_canonicalize_model_slice)
     1620    0.007    0.000   10.108    0.006 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:592(_model_cell_coordinates)
     1620    0.008    0.000   10.098    0.006 C:\codes\HydroModPy-GH\launchers\model_calibration\output_selection.py:527(_coordinates_from_solver_mesh)
