=== TOP 120 CUMULATIVE ===
         67825484 function calls (64722086 primitive calls) in 120.316 seconds

   Ordered by: cumulative time
   List reduced from 6205 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001  120.334  120.334 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:737(run_twin_benchmark_case)
       24    0.002    0.000  111.278    4.637 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:3338(execute_candidate_run)
        1    0.000    0.000  109.187  109.187 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:121(calibrate)
        1    0.000    0.000  106.324  106.324 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:303(calibrate)
        1    0.000    0.000  106.324  106.324 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods_dispatcher.py:124(calibrate)
        1    0.000    0.000  106.324  106.324 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\simplex.py:46(simplex_calibrate)
        1    0.000    0.000  106.323  106.323 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:541(fmin)
        1    0.006    0.006  106.323  106.323 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:666(_minimize_neldermead)
       23    0.001    0.000  106.316    4.622 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:521(function_wrapper)
       23    0.001    0.000  106.315    4.622 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\simplex.py:33(_penalized_cost)
       24    0.000    0.000  106.313    4.430 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:284(cost)
       25    0.000    0.000  106.310    4.252 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:250(_evaluate_composite)
       25    0.001    0.000  106.309    4.252 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:1835(evaluate)
       24    0.003    0.000   88.627    3.693 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:325(run_prepared)
