=== TOP 120 CUMULATIVE ===
         67212167 function calls (63744677 primitive calls) in 103.038 seconds

   Ordered by: cumulative time
   List reduced from 3007 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002  103.047  103.047 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:737(run_twin_benchmark_case)
       27    0.002    0.000   98.042    3.631 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:3338(execute_candidate_run)
        1    0.000    0.000   94.734   94.734 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:121(calibrate)
        1    0.000    0.000   93.199   93.199 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:303(calibrate)
        1    0.000    0.000   93.199   93.199 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods_dispatcher.py:124(calibrate)
        1    0.006    0.006   93.199   93.199 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:209(delayed_acceptance_gp_mh_calibrate)
       26    0.000    0.000   93.158    3.583 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:342(_cached_logposterior)
       26    0.002    0.000   93.153    3.583 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\da_mh_gp.py:323(_logposterior)
       27    0.000    0.000   93.150    3.450 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:284(cost)
       28    0.000    0.000   93.148    3.327 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:250(_evaluate_composite)
       28    0.001    0.000   93.147    3.327 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:1835(evaluate)
       27    0.005    0.000   88.216    3.267 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:325(run_prepared)
       27    0.000    0.000   88.002    3.259 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:129(execute)
       27    0.000    0.000   88.001    3.259 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:178(_run_process_run)
       27    0.001    0.000   88.000    3.259 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow6.py:24(execute)
