=== TOP 120 CUMULATIVE ===
         60712790 function calls (57609392 primitive calls) in 93.787 seconds

   Ordered by: cumulative time
   List reduced from 6205 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   93.803   93.803 C:\codes\HydroModPy-GH\validation_cases\calibration\shared\runtime.py:737(run_twin_benchmark_case)
       24    0.002    0.000   87.879    3.662 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:3338(execute_candidate_run)
        1    0.000    0.000   85.968   85.968 C:\codes\HydroModPy-GH\launchers\model_calibration\launcher.py:121(calibrate)
        1    0.000    0.000   83.503   83.503 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:303(calibrate)
        1    0.000    0.000   83.503   83.503 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods_dispatcher.py:124(calibrate)
        1    0.000    0.000   83.502   83.502 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\simplex.py:46(simplex_calibrate)
        1    0.000    0.000   83.502   83.502 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:541(fmin)
        1    0.002    0.002   83.502   83.502 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:666(_minimize_neldermead)
       23    0.001    0.000   83.498    3.630 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\scipy\optimize\_optimize.py:521(function_wrapper)
       23    0.001    0.000   83.497    3.630 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\methods\simplex.py:33(_penalized_cost)
       24    0.000    0.000   83.495    3.479 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:284(cost)
       25    0.000    0.000   83.492    3.340 C:\codes\HydroModPy-GH\hydromodpy\analysis\calibration\core\engine.py:250(_evaluate_composite)
       25    0.001    0.000   83.491    3.340 C:\codes\HydroModPy-GH\launchers\model_calibration\runtime.py:1835(evaluate)
       24    0.003    0.000   78.774    3.282 C:\codes\HydroModPy-GH\launchers\process_simulation\launcher.py:325(run_prepared)
       24    0.000    0.000   78.578    3.274 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:129(execute)
       24    0.000    0.000   78.578    3.274 C:\codes\HydroModPy-GH\hydromodpy\simulation\execution\runner.py:178(_run_process_run)
       24    0.000    0.000   78.577    3.274 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow6.py:24(execute)
       24    0.005    0.000   78.569    3.274 C:\codes\HydroModPy-GH\hydromodpy\simulation\adapters\flow\modflow_common.py:132(run_flow_model)
       24    0.001    0.000   68.546    2.856 C:\codes\HydroModPy-GH\hydromodpy\solver\modflow6\modflow6.py:1483(processing)
       24    0.005    0.000   52.361    2.182 C:\Python312\Lib\site-packages\flopy\mf6\mfsimbase.py:1697(write_simulation)
      264    0.011    0.000   52.332    0.198 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:3297(write)
       24    0.008    0.000   51.748    2.156 C:\Python312\Lib\site-packages\flopy\mf6\mfmodel.py:1350(write)
      264    0.007    0.000   43.538    0.165 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:3446(_write_blocks)
      768    0.020    0.000   43.522    0.057 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1268(write)
     5016    0.161    0.000   40.280    0.008 C:\Python312\Lib\site-packages\flopy\mf6\mfpackage.py:1506(_write_block)
     1440    0.006    0.000   29.987    0.021 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:2583(write_file_entry)
     1440    0.018    0.000   29.957    0.021 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1745(write_file_entry)
     1440    0.087    0.000   29.940    0.021 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1791(_write_file_entry)
       24    0.002    0.000   16.185    0.674 C:\Python312\Lib\site-packages\flopy\mf6\mfsimbase.py:1803(run_simulation)
       24    0.027    0.001   16.182    0.674 C:\Python312\Lib\site-packages\flopy\mbase.py:1668(run_model)
     2232   15.914    0.007   15.914    0.007 {method 'readline' of '_io.BufferedReader' objects}
     1440    0.120    0.000   12.428    0.009 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1583(_increment_id_fields)
     1440    0.101    0.000   11.989    0.008 C:\Python312\Lib\site-packages\flopy\mf6\data\mfdataplist.py:1593(_decrement_id_fields)
    11520    0.196    0.000   10.937    0.001 C:\Users\dreuzy\AppData\Roaming\Python\Python312\site-packages\pandas\core\indexing.py:882(__setitem__)
