site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes
headwater_100km2_outlet_2,Headwater 100 km2 outlet 2,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,2,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_3,Headwater 100 km2 outlet 3,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,3,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_4,Headwater 100 km2 outlet 4,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,4,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_5,Headwater 100 km2 outlet 5,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,5,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_6,Headwater 100 km2 outlet 6,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,6,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_7,Headwater 100 km2 outlet 7,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,7,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_8,Headwater 100 km2 outlet 8,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,8,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_9,Headwater 100 km2 outlet 9,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,9,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_10,Headwater 100 km2 outlet 10,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,10,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_11,Headwater 100 km2 outlet 11,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,11,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_12,Headwater 100 km2 outlet 12,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,12,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_13,Headwater 100 km2 outlet 13,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,13,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_14,Headwater 100 km2 outlet 14,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,14,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_15,Headwater 100 km2 outlet 15,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,15,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_16,Headwater 100 km2 outlet 16,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,16,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_17,Headwater 100 km2 outlet 17,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,17,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_18,Headwater 100 km2 outlet 18,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,18,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_19,Headwater 100 km2 outlet 19,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,19,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_20,Headwater 100 km2 outlet 20,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,20,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_21,Headwater 100 km2 outlet 21,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,21,,,,,,,,,,,,,,,,,,,
