site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,x,y,area_km2,site_tags,cluster_tags,tags,resolved_paths_json,planned_case_count,skipped_case_count,executed_case_count,reused_case_count,failed_case_count,recipes_planned,recipes_skipped
headwater_100km2_outlet_10,Headwater 100 km2 outlet 10,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,287250.0,6791925.0,104.59125,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_2,Headwater 100 km2 outlet 2,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,ready,validated,true,407925.0,6808275.0,113.5575,regional_headwater;simulation_ready;backend_ready;transient_ready,,regional_headwater;simulation_ready;backend_ready;transient_ready,"{""simulation_reference_config"": ""C:\\codes\\HydroModPy-GH\\examples\\projects\\launcher_simulation\\run_headwater_100km2_outlet_2_mf6_transient_reference.toml"", ""backend_comparison_config"": ""C:\\codes\\HydroModPy-GH\\examples\\projects\\launcher_simulation\\run_method_comparison_headwater_100km2_outlet_2_backends.toml"", ""transient_backend_comparison_config"": ""C:\\codes\\HydroModPy-GH\\examples\\projects\\launcher_simulation\\run_method_comparison_headwater_100km2_outlet_2_transient_pulsed_recharge_backends.toml""}",3,0,0,0,0,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare,
headwater_100km2_outlet_27,Headwater 100 km2 outlet 27,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,ok,screening,true,364275.0,6956025.0,100.288125,regional_headwater;mesh_ready,,regional_headwater;mesh_ready,"{""mesh_output_mesh"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\\mesh_catchment_outlet_27.msh"", ""mesh_summary_json"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\\mesh_catchment_outlet_27_summary.json"", ""mesh_bundle_dir"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\\mesh_catchment_outlet_27_bundle"", ""mesh_figure"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\\mesh_catchment_outlet_27.png"", ""mesh_figure_regional"": ""C:\\Users\\dreuzy\\HydroModPy\\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\\mesh_catchment_outlet_27_regional.png""}",0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_3,Headwater 100 km2 outlet 3,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,237975.0,6870000.0,111.976875,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_4,Headwater 100 km2 outlet 4,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,404100.0,6852900.0,110.896875,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_5,Headwater 100 km2 outlet 5,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,275700.0,6814275.0,108.5175,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_6,Headwater 100 km2 outlet 6,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,177600.0,6788550.0,106.936875,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_7,Headwater 100 km2 outlet 7,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,410250.0,6753225.0,106.515,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_8,Headwater 100 km2 outlet 8,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,292875.0,6714750.0,106.126875,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
headwater_100km2_outlet_9,Headwater 100 km2 outlet 9,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,308550.0,6807375.0,104.743125,regional_headwater,,regional_headwater,{},0,3,0,0,0,,headwater_mf6_reference;headwater_backend_compare;headwater_transient_backend_compare
