site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,notes
s3_10km2_outlet_1,Strahler 3 10 km2 outlet 1,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,ok,screening,true,regional_screening;mesh_ready,1,466275.0,6868800.0,10.333125,ok,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_1\mesh_catchment_outlet_1.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_1\mesh_catchment_outlet_1_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_1\mesh_catchment_outlet_1_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_1\mesh_catchment_outlet_1.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_1\mesh_catchment_outlet_1_regional.png,
s3_10km2_outlet_2,Strahler 3 10 km2 outlet 2,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,2,430650.0,6741675.0,10.29375,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_2\mesh_catchment_outlet_2_regional.png,
s3_10km2_outlet_3,Strahler 3 10 km2 outlet 3,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,3,150750.0,6772200.0,10.20375,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_3\mesh_catchment_outlet_3.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_3\mesh_catchment_outlet_3_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_3\mesh_catchment_outlet_3_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_3\mesh_catchment_outlet_3.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_3\mesh_catchment_outlet_3_regional.png,
s3_10km2_outlet_4,Strahler 3 10 km2 outlet 4,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,4,153450.0,6862275.0,10.1925,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_4\mesh_catchment_outlet_4.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_4\mesh_catchment_outlet_4_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_4\mesh_catchment_outlet_4_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_4\mesh_catchment_outlet_4.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_4\mesh_catchment_outlet_4_regional.png,
s3_10km2_outlet_5,Strahler 3 10 km2 outlet 5,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,5,231525.0,6873975.0,10.02375,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_5\mesh_catchment_outlet_5.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_5\mesh_catchment_outlet_5_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_5\mesh_catchment_outlet_5_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_5\mesh_catchment_outlet_5.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_5\mesh_catchment_outlet_5_regional.png,
s3_10km2_outlet_6,Strahler 3 10 km2 outlet 6,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,6,392175.0,6935775.0,10.0125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_6\mesh_catchment_outlet_6_regional.png,
s3_10km2_outlet_7,Strahler 3 10 km2 outlet 7,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,7,467550.0,6806475.0,10.0125,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_7\mesh_catchment_outlet_7_regional.png,
s3_10km2_outlet_8,Strahler 3 10 km2 outlet 8,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,8,433275.0,6881025.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_8\mesh_catchment_outlet_8_regional.png,
s3_10km2_outlet_9,Strahler 3 10 km2 outlet 9,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,9,437550.0,6759075.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_9\mesh_catchment_outlet_9_regional.png,
s3_10km2_outlet_10,Strahler 3 10 km2 outlet 10,s3_10km2,Strahler 3 10 km2,s3,10km2,brittany,scan_s3_10km2,inventory,screening,true,regional_screening;mesh_ready,10,305025.0,6738675.0,10.006875,discovered,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10.msh,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10_summary.json,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10_bundle,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10.png,C:\Users\dreuzy\HydroModPy\mesh_catchment_runs\s3_10km2\mesh_outlet_10\mesh_catchment_outlet_10_regional.png,
