site_id,site_label,cluster_id,cluster_label,cluster_family,cluster_scale,region_id,source_selection_id,site_status,maturity,enabled,tags,outlet_id,x,y,area_km2,mesh_manifest_status,mesh_output_mesh,mesh_summary_json,mesh_bundle_dir,mesh_figure,mesh_figure_regional,bundle_cell_count,bundle_missing_top_centroid_count,bundle_missing_bottom_centroid_count,bundle_missing_hydraulic_conductivity_count,bundle_missing_storage_coefficient_count,bundle_invalid_vertical_geometry_count,bundle_storage_default_value,bundle_boussinesq_steady_ready,bundle_boussinesq_transient_ready,notes,simulation_reference_config,local_simulation_reference_config,backend_comparison_config,transient_backend_comparison_config,runtime_smoke_status,runtime_smoke_checked_at_utc,runtime_smoke_recipe_id,runtime_smoke_case_id,runtime_smoke_wall_time_seconds,runtime_smoke_metrics_json,runtime_smoke_boussinesq_summary_json,runtime_smoke_note,runtime_smoke_reused_from_report,runtime_smoke_runtime_backend,runtime_smoke_solve_stage,runtime_smoke_residual_norm_inf
headwater_100km2_outlet_2,Headwater 100 km2 outlet 2,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,ready,validated,true,regional_headwater;simulation_ready;backend_ready;transient_ready;runtime_smoke_ready,2,407925.0,6808275.0,113.5575,,,,,,,,,,,,,,,,repo-backed child configs available,../../examples/projects/launcher_simulation/run_headwater_100km2_outlet_2_mf6_transient_reference.toml,,../../examples/projects/launcher_simulation/run_method_comparison_headwater_100km2_outlet_2_backends.toml,../../examples/projects/launcher_simulation/run_method_comparison_headwater_100km2_outlet_2_transient_pulsed_recharge_backends.toml,skipped_existing_ok,2026-04-12T20:21:18.886107+00:00,headwater_mf6_reference,headwater_mf6_reference::headwater_100km2_outlet_2,212.52,C:\codes\HydroModPy-GH\examples\projects\launcher_simulation\results_reused_real_meshes\headwater_100km2_outlet_2_mf6\results_simulations\headwater_100km2_outlet_2_mf6_transient_reference\_metrics.json,,,true,,,
headwater_100km2_outlet_3,Headwater 100 km2 outlet 3,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,3,237975.0,6870000.0,111.976875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_4,Headwater 100 km2 outlet 4,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,4,404100.0,6852900.0,110.896875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_5,Headwater 100 km2 outlet 5,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,5,275700.0,6814275.0,108.5175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_6,Headwater 100 km2 outlet 6,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,6,177600.0,6788550.0,106.936875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_7,Headwater 100 km2 outlet 7,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,7,410250.0,6753225.0,106.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_8,Headwater 100 km2 outlet 8,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,8,292875.0,6714750.0,106.126875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_9,Headwater 100 km2 outlet 9,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,9,308550.0,6807375.0,104.743125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_10,Headwater 100 km2 outlet 10,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,inventory,screening,true,regional_headwater,10,287250.0,6791925.0,104.59125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
headwater_100km2_outlet_27,Headwater 100 km2 outlet 27,headwater_100km2,Headwater 100 km2,headwater,100km2,brittany,scan_headwater_100km2,ok,screening,true,regional_headwater;mesh_ready;simulation_ready;bundle_sanitized_from_mean;runtime_smoke_failed,27,364275.0,6956025.0,100.288125,ok,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27.msh,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27_summary.json,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27_bundle,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27.png,C:\Users\dreuzy\HydroModPy\mesh_gallery_headwater_100km2_outlet_27_rivers_only_outlet_27\mesh_catchment_outlet_27_regional.png,4312,0,0,0,4312,0,,true,false,"generated local boussinesq mesh replay config (steady-ready bundle); sanitized bundle with centroid fallback from mean values (top=6, bottom=0)",,child_configs/run_headwater_100km2_outlet_27_boussinesq_local_mesh_replay.toml,,,failed,2026-04-12T20:21:18.886107+00:00,headwater_local_boussinesq_replay,headwater_local_boussinesq_replay::headwater_100km2_outlet_27,22.760358,,C:\codes\HydroModPy-GH\reporting\regional_lab_pilot_2026-04-12\outputs\child_runs\headwater_100km2_outlet_27\results_simulations\flow_main__boussinesq\_boussinesq_summary.json,solve_stage=failed; runtime_backend=scipy_sparse; steady_residual_norm_inf=0.37140287080295437; steady_nonlinear_iterations=200,false,scipy_sparse,failed,0.37140287080295437
