date,Code deja present au debut de periode,Jean-Raynald de Dreuzy,iissolah,Ronan Abhervé,IvanOSORIO,Enzo-M25,Alex-Gauvain,Mathias,bastien-boivin,Autres contributeurs,Residuel merges/renommages,Total lignes source non vides
2026-01-12,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-13,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-14,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-15,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-16,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-17,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-18,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-19,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-20,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-21,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-22,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-23,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-24,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-25,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-26,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-27,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-28,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-29,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-30,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-01-31,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-01,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-02,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-03,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-04,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-05,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-06,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-07,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-08,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-09,21784,0,0,0,0,0,0,0,0,0,0,21784
2026-02-10,21784,0,0,0,0,0,0,0,53,0,0,21837
2026-02-11,21784,0,0,0,0,0,0,0,53,0,0,21837
2026-02-12,21784,0,0,0,0,0,0,0,53,0,0,21837
2026-02-13,21784,0,0,0,0,0,0,0,53,0,0,21837
2026-02-14,21784,0,0,0,0,0,0,0,53,0,0,21837
2026-02-15,21784,0,0,0,0,0,0,0,53,0,0,21837
2026-02-16,21784,1296,0,5992,0,0,0,0,53,0,0,29125
2026-02-17,21784,3688,0,5988,0,0,0,0,53,375,25,31913
2026-02-18,21784,3688,1342,5988,0,120,265,0,309,790,86,34372
2026-02-19,21784,3688,568,6977,0,758,733,0,532,1121,163,36324
2026-02-20,21784,6206,568,6981,0,759,559,0,684,1305,164,39010
