date,Code deja present au debut de periode,Jean-Raynald de Dreuzy,bastien-boivin,Total lignes source non vides
2026-03-29,171797,0,0,171797
2026-03-30,171797,0,0,171797
2026-03-31,171797,0,0,171797
2026-04-01,171797,0,663,172460
2026-04-02,171797,0,663,172460
2026-04-03,171797,6654,663,179114
2026-04-04,171797,6654,663,179114
2026-04-05,171797,6654,663,179114
2026-04-06,171797,6654,663,179114
2026-04-07,171797,6654,663,179114
2026-04-08,171797,6654,663,179114
2026-04-09,171797,12866,663,185326
2026-04-10,171797,14428,663,186888
2026-04-11,171797,18284,663,190744
2026-04-12,171797,43473,663,215933
