date,Code deja present au debut de periode,Jean-Raynald de Dreuzy,bastien-boivin,iissolah,Residuel merges/renommages,Total lignes source non vides
2026-03-12,107243,0,0,0,0,107243
2026-03-13,107243,0,3013,0,5967,116223
2026-03-14,107243,5276,3013,0,-3013,112519
2026-03-15,107243,17458,3013,0,-3013,124701
2026-03-16,107243,17458,5600,0,2839,133140
2026-03-17,107243,24649,5953,0,2816,140661
2026-03-18,107243,27493,8453,0,2816,146005
2026-03-19,107243,27493,7151,0,2713,144600
2026-03-20,107243,27493,8363,0,2706,145805
2026-03-21,107243,33663,8363,0,2706,151975
2026-03-22,107243,44602,8363,0,2705,162913
2026-03-23,107243,45341,8363,0,2705,163652
2026-03-24,107243,49303,8363,0,2705,167614
2026-03-25,107243,53626,8363,0,2705,171937
2026-03-26,107243,53626,8363,0,2705,171937
2026-03-27,107243,53626,8363,-218,2783,171797
2026-03-28,107243,53626,8363,-218,2783,171797
2026-03-29,107243,53626,8363,-218,2783,171797
2026-03-30,107243,53626,8363,-218,2783,171797
2026-03-31,107243,53626,8363,-218,2783,171797
2026-04-01,107243,53626,9026,-218,2783,172460
2026-04-02,107243,53626,9026,-218,2783,172460
2026-04-03,107243,60280,9026,-218,2783,179114
2026-04-04,107243,60280,9026,-218,2783,179114
2026-04-05,107243,60280,9026,-218,2783,179114
2026-04-06,107243,60280,9026,-218,2783,179114
2026-04-07,107243,60280,9026,-218,2783,179114
2026-04-08,107243,60280,9026,-218,2783,179114
2026-04-09,107243,66492,9026,-218,2783,185326
2026-04-10,107243,68054,9026,-218,2783,186888
2026-04-11,107243,71910,9026,-218,2783,190744
2026-04-12,107243,81264,9026,-218,2783,200098
