X	Y	Z	facies
213343	6.75778e+06	-400.0	4444.0
213350	6.75781e+06	-400.0	4444.0
213358	6.75783e+06	-400.0	4444.0
213366	6.75785e+06	-400.0	4444.0
213374	6.75788e+06	-400.0	4444.0
213381	6.7579e+06	-400.0	4444.0
213389	6.75792e+06	-400.0	4444.0
213397	6.75795e+06	-400.0	4444.0
213404	6.75797e+06	-400.0	4444.0
213412	6.758e+06	-400.0	4444.0
213420	6.75802e+06	-400.0	4444.0
213428	6.75804e+06	-400.0	4444.0
213435	6.75807e+06	-400.0	4444.0
213443	6.75809e+06	-400.0	4444.0
213451	6.75811e+06	-400.0	4444.0
213458	6.75814e+06	-400.0	4444.0
213466	6.75816e+06	-400.0	4444.0
213474	6.75819e+06	-400.0	4444.0
213482	6.75821e+06	-400.0	4444.0
213489	6.75823e+06	-400.0	4444.0
213497	6.75826e+06	-400.0	4444.0
213505	6.75828e+06	-400.0	4444.0
213512	6.7583e+06	-400.0	4444.0
213520	6.75833e+06	-400.0	4444.0
213528	6.75835e+06	-400.0	4444.0
213536	6.75838e+06	-400.0	4444.0
213543	6.7584e+06	-400.0	4444.0
213551	6.75842e+06	-400.0	4444.0
213559	6.75845e+06	-400.0	4444.0
213567	6.75847e+06	-400.0	4444.0
213574	6.75849e+06	-400.0	4444.0
213582	6.75852e+06	-400.0	4444.0
213590	6.75854e+06	-400.0	4444.0
213597	6.75857e+06	-400.0	4444.0
213605	6.75859e+06	-400.0	4444.0
213613	6.75861e+06	-400.0	4444.0
213621	6.75864e+06	-400.0	4444.0
213628	6.75866e+06	-400.0	4444.0
213636	6.75868e+06	-400.0	4444.0
213644	6.75871e+06	-400.0	4444.0
213651	6.75873e+06	-400.0	4444.0
213659	6.75876e+06	-400.0	4444.0
213667	6.75878e+06	-400.0	4444.0
213675	6.7588e+06	-400.0	4444.0
213682	6.75883e+06	-400.0	4444.0
213690	6.75885e+06	-400.0	4444.0
213698	6.75887e+06	-400.0	4444.0
213705	6.7589e+06	-400.0	4444.0
213713	6.75892e+06	-400.0	4444.0
213721	6.75895e+06	-400.0	4444.0
213729	6.75897e+06	-400.0	4444.0
213736	6.75899e+06	-400.0	4444.0
213744	6.75902e+06	-400.0	4444.0
213752	6.75904e+06	-400.0	4444.0
213759	6.75906e+06	-400.0	4444.0
213767	6.75909e+06	-400.0	4444.0
213775	6.75911e+06	-400.0	4444.0
213783	6.75914e+06	-400.0	4444.0
213790	6.75916e+06	-400.0	4444.0
213798	6.75918e+06	-400.0	4444.0
213806	6.75921e+06	-400.0	4444.0
213813	6.75923e+06	-400.0	4444.0
213821	6.75926e+06	-400.0	4444.0
213829	6.75928e+06	-400.0	4444.0
213837	6.7593e+06	-400.0	4444.0
213844	6.75933e+06	-400.0	4444.0
213852	6.75935e+06	-400.0	4444.0
213860	6.75937e+06	-400.0	4444.0
213867	6.7594e+06	-400.0	4444.0
213875	6.75942e+06	-400.0	4444.0
213883	6.75945e+06	-400.0	4444.0
213891	6.75947e+06	-400.0	4444.0
213898	6.75949e+06	-400.0	4444.0
213906	6.75952e+06	-400.0	4444.0
213914	6.75954e+06	-400.0	4444.0
213922	6.75956e+06	-400.0	4444.0
213929	6.75959e+06	-400.0	4444.0
213937	6.75961e+06	-400.0	4444.0
213945	6.75964e+06	-400.0	4444.0
213952	6.75966e+06	-400.0	4444.0
213960	6.75968e+06	-400.0	4444.0
213968	6.75971e+06	-400.0	4444.0
213976	6.75973e+06	-400.0	4444.0
213983	6.75975e+06	-400.0	4444.0
213991	6.75978e+06	-400.0	4444.0
213999	6.7598e+06	-400.0	4444.0
214006	6.75983e+06	-400.0	4444.0
214014	6.75985e+06	-400.0	4444.0
214022	6.75987e+06	-400.0	4444.0
214030	6.7599e+06	-400.0	4444.0
214037	6.75992e+06	-400.0	4444.0
214045	6.75994e+06	-400.0	4444.0
214053	6.75997e+06	-400.0	4444.0
214060	6.75999e+06	-400.0	4444.0
214068	6.76002e+06	-400.0	4444.0
214076	6.76004e+06	-400.0	4444.0
214084	6.76006e+06	-400.0	4444.0
214091	6.76009e+06	-400.0	4444.0
214099	6.76011e+06	-400.0	4444.0
214107	6.76013e+06	-400.0	4444.0
214114	6.76016e+06	-400.0	7777.0
214122	6.76018e+06	-400.0	7777.0
214130	6.76021e+06	-400.0	7777.0
214138	6.76023e+06	-400.0	7777.0
214145	6.76025e+06	-400.0	7777.0
214153	6.76028e+06	-400.0	7777.0
214161	6.7603e+06	-400.0	7777.0
214168	6.76032e+06	-400.0	5555.0
214176	6.76035e+06	-400.0	5555.0
214184	6.76037e+06	-400.0	6666.0
214192	6.7604e+06	-400.0	6666.0
214199	6.76042e+06	-400.0	6666.0
214207	6.76044e+06	-400.0	6666.0
214215	6.76047e+06	-400.0	6666.0
214222	6.76049e+06	-400.0	6666.0
214230	6.76051e+06	-400.0	6666.0
214238	6.76054e+06	-400.0	6666.0
214246	6.76056e+06	-400.0	6666.0
214253	6.76059e+06	-400.0	6666.0
214261	6.76061e+06	-400.0	6666.0
214269	6.76063e+06	-400.0	6666.0
