X Y Z facies
162595.437500 2320761.500000 -50.000000 4444.000000
162602.968750 2320785.250000 -50.000000 4444.000000
162610.500000 2320809.250000 -50.000000 4444.000000
162618.031250 2320833.000000 -50.000000 4444.000000
162625.562500 2320856.750000 -50.000000 4444.000000
162633.093750 2320880.750000 -50.000000 4444.000000
162640.625000 2320904.500000 -50.000000 4444.000000
162648.156250 2320928.250000 -50.000000 4444.000000
162655.687500 2320952.250000 -50.000000 4444.000000
162663.218750 2320976.000000 -50.000000 4444.000000
162670.750000 2321000.000000 -50.000000 4444.000000
162678.281250 2321023.750000 -50.000000 4444.000000
162685.812500 2321047.500000 -50.000000 4444.000000
162693.343750 2321071.500000 -50.000000 4444.000000
162700.875000 2321095.250000 -50.000000 4444.000000
162708.406250 2321119.000000 -50.000000 4444.000000
162715.937500 2321143.000000 -50.000000 4444.000000
162723.468750 2321166.750000 -50.000000 4444.000000
162731.000000 2321190.500000 -50.000000 4444.000000
162738.531250 2321214.500000 -50.000000 4444.000000
162746.062500 2321238.250000 -50.000000 4444.000000
162753.593750 2321262.000000 -50.000000 4444.000000
162761.125000 2321286.000000 -50.000000 4444.000000
162768.656250 2321309.750000 -50.000000 4444.000000
162776.187500 2321333.750000 -50.000000 4444.000000
162783.718750 2321357.500000 -50.000000 4444.000000
162791.250000 2321381.250000 -50.000000 4444.000000
162798.781250 2321405.250000 -50.000000 4444.000000
162806.312500 2321429.000000 -50.000000 4444.000000
162813.843750 2321452.750000 -50.000000 4444.000000
162821.375000 2321476.750000 -50.000000 4444.000000
162828.906250 2321500.500000 -50.000000 4444.000000
162836.437500 2321524.250000 -50.000000 4444.000000
162843.968750 2321548.250000 -50.000000 4444.000000
162851.500000 2321572.000000 -50.000000 4444.000000
162859.031250 2321595.750000 -50.000000 4444.000000
162866.562500 2321619.750000 -50.000000 4444.000000
162874.093750 2321643.500000 -50.000000 4444.000000
162881.625000 2321667.500000 -50.000000 4444.000000
162889.156250 2321691.250000 -50.000000 4444.000000
162896.687500 2321715.000000 -50.000000 4444.000000
162904.218750 2321739.000000 -50.000000 4444.000000
162911.750000 2321762.750000 -50.000000 4444.000000
162919.281250 2321786.500000 -50.000000 4444.000000
162926.812500 2321810.500000 -50.000000 4444.000000
162934.343750 2321834.250000 -50.000000 4444.000000
162941.875000 2321858.000000 -50.000000 4444.000000
162949.406250 2321882.000000 -50.000000 4444.000000
162956.937500 2321905.750000 -50.000000 4444.000000
162964.468750 2321929.500000 -50.000000 4444.000000
162972.000000 2321953.500000 -50.000000 4444.000000
162979.531250 2321977.250000 -50.000000 4444.000000
162987.062500 2322001.000000 -50.000000 4444.000000
162994.593750 2322025.000000 -50.000000 4444.000000
163002.125000 2322048.750000 -50.000000 4444.000000
163009.656250 2322072.750000 -50.000000 4444.000000
163017.187500 2322096.500000 -50.000000 4444.000000
163024.718750 2322120.250000 -50.000000 4444.000000
163032.250000 2322144.250000 -50.000000 4444.000000
163039.781250 2322168.000000 -50.000000 7777.000000
163047.328125 2322191.750000 -50.000000 7777.000000
163054.859375 2322215.750000 -50.000000 7777.000000
163062.390625 2322239.500000 -50.000000 7777.000000
163069.921875 2322263.250000 -50.000000 5555.000000
163077.453125 2322287.250000 -50.000000 5555.000000
163084.984375 2322311.000000 -50.000000 5555.000000
163092.515625 2322334.750000 -50.000000 5555.000000
163100.046875 2322358.750000 -50.000000 5555.000000
163107.578125 2322382.500000 -50.000000 5555.000000
163115.109375 2322406.500000 -50.000000 5555.000000
163122.640625 2322430.250000 -50.000000 5555.000000
163130.171875 2322454.000000 -50.000000 5555.000000
163137.703125 2322478.000000 -50.000000 5555.000000
163145.234375 2322501.750000 -50.000000 5555.000000
163152.765625 2322525.500000 -50.000000 5555.000000
163160.296875 2322549.500000 -50.000000 5555.000000
163167.828125 2322573.250000 -50.000000 5555.000000
163175.359375 2322597.000000 -50.000000 5555.000000
163182.890625 2322621.000000 -50.000000 5555.000000
163190.421875 2322644.750000 -50.000000 5555.000000
163197.953125 2322668.500000 -50.000000 5555.000000
163205.484375 2322692.500000 -50.000000 5555.000000
163213.015625 2322716.250000 -50.000000 5555.000000
163220.546875 2322740.250000 -50.000000 5555.000000
163228.078125 2322764.000000 -50.000000 5555.000000
163235.609375 2322787.750000 -50.000000 5555.000000
163243.140625 2322811.750000 -50.000000 5555.000000
163250.671875 2322835.500000 -50.000000 5555.000000
163258.203125 2322859.250000 -50.000000 5555.000000
163265.734375 2322883.250000 -50.000000 5555.000000
163273.265625 2322907.000000 -50.000000 5555.000000
163280.796875 2322930.750000 -50.000000 5555.000000
163288.328125 2322954.750000 -50.000000 5555.000000
163295.859375 2322978.500000 -50.000000 5555.000000
163303.390625 2323002.250000 -50.000000 5555.000000
163310.921875 2323026.250000 -50.000000 5555.000000
163318.453125 2323050.000000 -50.000000 5555.000000
163325.984375 2323073.750000 -50.000000 5555.000000
163333.515625 2323097.750000 -50.000000 5555.000000
163341.046875 2323121.500000 -50.000000 5555.000000
163348.578125 2323145.500000 -50.000000 5555.000000
163356.109375 2323169.250000 -50.000000 5555.000000
163363.640625 2323193.000000 -50.000000 5555.000000
163371.171875 2323217.000000 -50.000000 5555.000000
163378.703125 2323240.750000 -50.000000 5555.000000
163386.234375 2323264.500000 -50.000000 5555.000000
163393.765625 2323288.500000 -50.000000 5555.000000
163401.296875 2323312.250000 -50.000000 5555.000000
163408.828125 2323336.000000 -50.000000 5555.000000
163416.359375 2323360.000000 -50.000000 6666.000000
163423.890625 2323383.750000 -50.000000 6666.000000
163431.421875 2323407.500000 -50.000000 6666.000000
163438.953125 2323431.500000 -50.000000 6666.000000
163446.484375 2323455.250000 -50.000000 6666.000000
163454.015625 2323479.250000 -50.000000 6666.000000
163461.546875 2323503.000000 -50.000000 6666.000000
163469.078125 2323526.750000 -50.000000 6666.000000
163476.609375 2323550.750000 -50.000000 6666.000000
163484.140625 2323574.500000 -50.000000 6666.000000
163491.671875 2323598.250000 -50.000000 6666.000000
163499.203125 2323622.250000 -50.000000 6666.000000
163506.734375 2323646.000000 -50.000000 6666.000000
163514.265625 2323669.750000 -50.000000 6666.000000
163521.796875 2323693.750000 -50.000000 6666.000000
163529.328125 2323717.500000 -50.000000 6666.000000
163536.859375 2323741.250000 -50.000000 6666.000000
163544.390625 2323765.250000 -50.000000 6666.000000
163551.921875 2323789.000000 -50.000000 6666.000000
163559.453125 2323813.000000 -50.000000 6666.000000
163566.984375 2323836.750000 -50.000000 6666.000000
163574.515625 2323860.500000 -50.000000 6666.000000
163582.046875 2323884.500000 -50.000000 6666.000000
163589.578125 2323908.250000 -50.000000 6666.000000
163597.109375 2323932.000000 -50.000000 6666.000000
163604.640625 2323956.000000 -50.000000 6666.000000
163612.171875 2323979.750000 -50.000000 6666.000000
163619.703125 2324003.500000 -50.000000 6666.000000
163627.234375 2324027.500000 -50.000000 6666.000000
163634.765625 2324051.250000 -50.000000 6666.000000
163642.296875 2324075.000000 -50.000000 6666.000000
163649.828125 2324099.000000 -50.000000 6666.000000
163657.359375 2324122.750000 -50.000000 6666.000000
163664.890625 2324146.500000 -50.000000 6666.000000
163672.421875 2324170.500000 -50.000000 6666.000000
163679.953125 2324194.250000 -50.000000 6666.000000
163687.484375 2324218.250000 -50.000000 6666.000000
163695.015625 2324242.000000 -50.000000 6666.000000
163702.546875 2324265.750000 -50.000000 6666.000000
163710.078125 2324289.750000 -50.000000 6666.000000
163717.609375 2324313.500000 -50.000000 6666.000000
163725.140625 2324337.250000 -50.000000 6666.000000
163732.671875 2324361.250000 -50.000000 6666.000000
163740.203125 2324385.000000 -50.000000 6666.000000
163747.734375 2324408.750000 -50.000000 6666.000000
163755.265625 2324432.750000 -50.000000 6666.000000
163762.796875 2324456.500000 -50.000000 6666.000000
163770.328125 2324480.250000 -50.000000 6666.000000
163777.859375 2324504.250000 -50.000000 6666.000000
163785.390625 2324528.000000 -50.000000 6666.000000
163792.921875 2324552.000000 -50.000000 6666.000000
163800.453125 2324575.750000 -50.000000 6666.000000
163807.984375 2324599.500000 -50.000000 6666.000000
163815.515625 2324623.500000 -50.000000 6666.000000
163823.046875 2324647.250000 -50.000000 6666.000000
163830.578125 2324671.000000 -50.000000 6666.000000
163838.109375 2324695.000000 -50.000000 6666.000000
163845.640625 2324718.750000 -50.000000 3333.000000
163853.171875 2324742.500000 -50.000000 3333.000000
163860.703125 2324766.500000 -50.000000 3333.000000
163868.234375 2324790.250000 -50.000000 3333.000000
163875.765625 2324814.000000 -50.000000 3333.000000
163883.296875 2324838.000000 -50.000000 3333.000000
163890.828125 2324861.750000 -50.000000 3333.000000
163898.359375 2324885.750000 -50.000000 3333.000000
163905.890625 2324909.500000 -50.000000 3333.000000
163913.421875 2324933.250000 -50.000000 3333.000000
163920.953125 2324957.250000 -50.000000 3333.000000
163928.484375 2324981.000000 -50.000000 3333.000000
163936.015625 2325004.750000 -50.000000 3333.000000
163943.546875 2325028.750000 -50.000000 3333.000000
163951.093750 2325052.500000 -50.000000 3333.000000
163958.625000 2325076.250000 -50.000000 3333.000000
163966.156250 2325100.250000 -50.000000 3333.000000
163973.687500 2325124.000000 -50.000000 3333.000000
163981.218750 2325147.750000 -50.000000 3333.000000
163988.750000 2325171.750000 -50.000000 3333.000000
163996.281250 2325195.500000 -50.000000 3333.000000
164003.812500 2325219.250000 -50.000000 3333.000000
164011.343750 2325243.250000 -50.000000 3333.000000
164018.875000 2325267.000000 -50.000000 3333.000000
164026.406250 2325291.000000 -50.000000 3333.000000
164033.937500 2325314.750000 -50.000000 3333.000000
164041.468750 2325338.500000 -50.000000 3333.000000
164049.000000 2325362.500000 -50.000000 3333.000000
164056.531250 2325386.250000 -50.000000 3333.000000
164064.062500 2325410.000000 -50.000000 3333.000000
164071.593750 2325434.000000 -50.000000 3333.000000
164079.125000 2325457.750000 -50.000000 3333.000000
164086.656250 2325481.500000 -50.000000 3333.000000
164094.187500 2325505.500000 -50.000000 3333.000000
164101.718750 2325529.250000 -50.000000 3333.000000
164109.250000 2325553.000000 -50.000000 3333.000000
164116.781250 2325577.000000 -50.000000 3333.000000
164124.312500 2325600.750000 -50.000000 3333.000000
162619.281250 2320754.000000 -50.000000 4444.000000
162626.812500 2320777.750000 -50.000000 4444.000000
162634.343750 2320801.750000 -50.000000 4444.000000
162641.875000 2320825.500000 -50.000000 4444.000000
162649.406250 2320849.250000 -50.000000 4444.000000
162656.937500 2320873.250000 -50.000000 4444.000000
162664.468750 2320897.000000 -50.000000 4444.000000
162672.000000 2320920.750000 -50.000000 4444.000000
162679.531250 2320944.750000 -50.000000 4444.000000
162687.062500 2320968.500000 -50.000000 4444.000000
162694.593750 2320992.250000 -50.000000 4444.000000
162702.125000 2321016.250000 -50.000000 4444.000000
162709.656250 2321040.000000 -50.000000 4444.000000
162717.187500 2321063.750000 -50.000000 4444.000000
162724.718750 2321087.750000 -50.000000 4444.000000
162732.250000 2321111.500000 -50.000000 4444.000000
162739.781250 2321135.500000 -50.000000 4444.000000
162747.312500 2321159.250000 -50.000000 4444.000000
162754.843750 2321183.000000 -50.000000 4444.000000
162762.375000 2321207.000000 -50.000000 4444.000000
162769.906250 2321230.750000 -50.000000 4444.000000
162777.437500 2321254.500000 -50.000000 4444.000000
162784.968750 2321278.500000 -50.000000 4444.000000
162792.500000 2321302.250000 -50.000000 4444.000000
162800.031250 2321326.000000 -50.000000 4444.000000
162807.562500 2321350.000000 -50.000000 4444.000000
162815.093750 2321373.750000 -50.000000 4444.000000
162822.625000 2321397.500000 -50.000000 4444.000000
162830.156250 2321421.500000 -50.000000 4444.000000
162837.687500 2321445.250000 -50.000000 4444.000000
162845.218750 2321469.250000 -50.000000 4444.000000
162852.750000 2321493.000000 -50.000000 4444.000000
162860.281250 2321516.750000 -50.000000 4444.000000
162867.812500 2321540.750000 -50.000000 4444.000000
162875.343750 2321564.500000 -50.000000 4444.000000
162882.875000 2321588.250000 -50.000000 4444.000000
162890.406250 2321612.250000 -50.000000 4444.000000
162897.937500 2321636.000000 -50.000000 4444.000000
162905.468750 2321659.750000 -50.000000 4444.000000
162913.000000 2321683.750000 -50.000000 4444.000000
162920.531250 2321707.500000 -50.000000 4444.000000
162928.062500 2321731.250000 -50.000000 4444.000000
162935.593750 2321755.250000 -50.000000 4444.000000
162943.125000 2321779.000000 -50.000000 4444.000000
162950.656250 2321803.000000 -50.000000 4444.000000
162958.187500 2321826.750000 -50.000000 4444.000000
162965.718750 2321850.500000 -50.000000 4444.000000
162973.250000 2321874.500000 -50.000000 4444.000000
162980.781250 2321898.250000 -50.000000 4444.000000
162988.312500 2321922.000000 -50.000000 4444.000000
162995.843750 2321946.000000 -50.000000 4444.000000
163003.375000 2321969.750000 -50.000000 4444.000000
163010.906250 2321993.500000 -50.000000 4444.000000
163018.437500 2322017.500000 -50.000000 4444.000000
163025.968750 2322041.250000 -50.000000 4444.000000
163033.500000 2322065.000000 -50.000000 4444.000000
163041.031250 2322089.000000 -50.000000 4444.000000
163048.562500 2322112.750000 -50.000000 4444.000000
163056.093750 2322136.500000 -50.000000 4444.000000
163063.625000 2322160.500000 -50.000000 7777.000000
163071.156250 2322184.250000 -50.000000 7777.000000
163078.687500 2322208.250000 -50.000000 7777.000000
163086.218750 2322232.000000 -50.000000 7777.000000
163093.750000 2322255.750000 -50.000000 5555.000000
163101.281250 2322279.750000 -50.000000 5555.000000
163108.812500 2322303.500000 -50.000000 5555.000000
163116.343750 2322327.250000 -50.000000 5555.000000
163123.875000 2322351.250000 -50.000000 5555.000000
163131.406250 2322375.000000 -50.000000 5555.000000
163138.937500 2322398.750000 -50.000000 5555.000000
163146.468750 2322422.750000 -50.000000 5555.000000
163154.000000 2322446.500000 -50.000000 5555.000000
163161.531250 2322470.250000 -50.000000 5555.000000
163169.062500 2322494.250000 -50.000000 5555.000000
163176.593750 2322518.000000 -50.000000 5555.000000
163184.125000 2322542.000000 -50.000000 5555.000000
163191.656250 2322565.750000 -50.000000 5555.000000
163199.187500 2322589.500000 -50.000000 5555.000000
163206.718750 2322613.500000 -50.000000 5555.000000
163214.250000 2322637.250000 -50.000000 5555.000000
163221.781250 2322661.000000 -50.000000 5555.000000
163229.312500 2322685.000000 -50.000000 5555.000000
163236.843750 2322708.750000 -50.000000 5555.000000
163244.375000 2322732.500000 -50.000000 5555.000000
163251.906250 2322756.500000 -50.000000 5555.000000
163259.437500 2322780.250000 -50.000000 5555.000000
163266.968750 2322804.000000 -50.000000 5555.000000
163274.500000 2322828.000000 -50.000000 5555.000000
163282.031250 2322851.750000 -50.000000 5555.000000
163289.562500 2322875.750000 -50.000000 5555.000000
163297.093750 2322899.500000 -50.000000 5555.000000
163304.625000 2322923.250000 -50.000000 5555.000000
163312.156250 2322947.250000 -50.000000 5555.000000
163319.687500 2322971.000000 -50.000000 5555.000000
163327.218750 2322994.750000 -50.000000 5555.000000
163334.750000 2323018.750000 -50.000000 5555.000000
163342.281250 2323042.500000 -50.000000 5555.000000
163349.812500 2323066.250000 -50.000000 5555.000000
163357.343750 2323090.250000 -50.000000 5555.000000
163364.875000 2323114.000000 -50.000000 5555.000000
163372.421875 2323137.750000 -50.000000 5555.000000
163379.953125 2323161.750000 -50.000000 5555.000000
163387.484375 2323185.500000 -50.000000 5555.000000
163395.015625 2323209.500000 -50.000000 5555.000000
163402.546875 2323233.250000 -50.000000 5555.000000
163410.078125 2323257.000000 -50.000000 5555.000000
163417.609375 2323281.000000 -50.000000 5555.000000
163425.140625 2323304.750000 -50.000000 5555.000000
163432.671875 2323328.500000 -50.000000 5555.000000
163440.203125 2323352.500000 -50.000000 6666.000000
163447.734375 2323376.250000 -50.000000 6666.000000
163455.265625 2323400.000000 -50.000000 6666.000000
163462.796875 2323424.000000 -50.000000 6666.000000
163470.328125 2323447.750000 -50.000000 6666.000000
163477.859375 2323471.500000 -50.000000 6666.000000
163485.390625 2323495.500000 -50.000000 6666.000000
163492.921875 2323519.250000 -50.000000 6666.000000
163500.453125 2323543.000000 -50.000000 6666.000000
163507.984375 2323567.000000 -50.000000 6666.000000
163515.515625 2323590.750000 -50.000000 6666.000000
163523.046875 2323614.750000 -50.000000 6666.000000
163530.578125 2323638.500000 -50.000000 6666.000000
163538.109375 2323662.250000 -50.000000 6666.000000
163545.640625 2323686.250000 -50.000000 6666.000000
163553.171875 2323710.000000 -50.000000 6666.000000
163560.703125 2323733.750000 -50.000000 6666.000000
163568.234375 2323757.750000 -50.000000 6666.000000
163575.765625 2323781.500000 -50.000000 6666.000000
163583.296875 2323805.250000 -50.000000 6666.000000
163590.828125 2323829.250000 -50.000000 6666.000000
163598.359375 2323853.000000 -50.000000 6666.000000
163605.890625 2323876.750000 -50.000000 6666.000000
163613.421875 2323900.750000 -50.000000 6666.000000
163620.953125 2323924.500000 -50.000000 6666.000000
163628.484375 2323948.500000 -50.000000 6666.000000
163636.015625 2323972.250000 -50.000000 6666.000000
163643.546875 2323996.000000 -50.000000 6666.000000
163651.078125 2324020.000000 -50.000000 6666.000000
163658.609375 2324043.750000 -50.000000 6666.000000
163666.140625 2324067.500000 -50.000000 6666.000000
163673.671875 2324091.500000 -50.000000 6666.000000
163681.203125 2324115.250000 -50.000000 6666.000000
163688.734375 2324139.000000 -50.000000 6666.000000
163696.265625 2324163.000000 -50.000000 6666.000000
163703.796875 2324186.750000 -50.000000 6666.000000
163711.328125 2324210.500000 -50.000000 6666.000000
163718.859375 2324234.500000 -50.000000 6666.000000
163726.390625 2324258.250000 -50.000000 6666.000000
163733.921875 2324282.250000 -50.000000 6666.000000
163741.453125 2324306.000000 -50.000000 6666.000000
163748.984375 2324329.750000 -50.000000 6666.000000
163756.515625 2324353.750000 -50.000000 6666.000000
163764.046875 2324377.500000 -50.000000 6666.000000
163771.578125 2324401.250000 -50.000000 6666.000000
163779.109375 2324425.250000 -50.000000 6666.000000
163786.640625 2324449.000000 -50.000000 6666.000000
163794.171875 2324472.750000 -50.000000 6666.000000
163801.703125 2324496.750000 -50.000000 6666.000000
163809.234375 2324520.500000 -50.000000 6666.000000
163816.765625 2324544.250000 -50.000000 6666.000000
163824.296875 2324568.250000 -50.000000 6666.000000
163831.828125 2324592.000000 -50.000000 6666.000000
163839.359375 2324615.750000 -50.000000 6666.000000
163846.890625 2324639.750000 -50.000000 6666.000000
163854.421875 2324663.500000 -50.000000 6666.000000
163861.953125 2324687.500000 -50.000000 6666.000000
163869.484375 2324711.250000 -50.000000 3333.000000
163877.015625 2324735.000000 -50.000000 3333.000000
163884.546875 2324759.000000 -50.000000 3333.000000
163892.078125 2324782.750000 -50.000000 3333.000000
163899.609375 2324806.500000 -50.000000 3333.000000
163907.140625 2324830.500000 -50.000000 3333.000000
163914.671875 2324854.250000 -50.000000 3333.000000
163922.203125 2324878.000000 -50.000000 3333.000000
163929.734375 2324902.000000 -50.000000 3333.000000
163937.265625 2324925.750000 -50.000000 3333.000000
163944.796875 2324949.500000 -50.000000 3333.000000
163952.328125 2324973.500000 -50.000000 3333.000000
163959.859375 2324997.250000 -50.000000 3333.000000
163967.390625 2325021.250000 -50.000000 3333.000000
163974.921875 2325045.000000 -50.000000 3333.000000
163982.453125 2325068.750000 -50.000000 3333.000000
163989.984375 2325092.750000 -50.000000 3333.000000
163997.515625 2325116.500000 -50.000000 3333.000000
164005.046875 2325140.250000 -50.000000 3333.000000
164012.578125 2325164.250000 -50.000000 3333.000000
164020.109375 2325188.000000 -50.000000 3333.000000
164027.640625 2325211.750000 -50.000000 3333.000000
164035.171875 2325235.750000 -50.000000 3333.000000
164042.703125 2325259.500000 -50.000000 3333.000000
164050.234375 2325283.250000 -50.000000 3333.000000
164057.765625 2325307.250000 -50.000000 3333.000000
164065.296875 2325331.000000 -50.000000 3333.000000
164072.828125 2325355.000000 -50.000000 3333.000000
164080.359375 2325378.750000 -50.000000 3333.000000
164087.890625 2325402.500000 -50.000000 3333.000000
164095.421875 2325426.500000 -50.000000 3333.000000
164102.953125 2325450.250000 -50.000000 3333.000000
164110.484375 2325474.000000 -50.000000 3333.000000
164118.015625 2325498.000000 -50.000000 3333.000000
164125.546875 2325521.750000 -50.000000 3333.000000
164133.078125 2325545.500000 -50.000000 3333.000000
164140.609375 2325569.500000 -50.000000 3333.000000
164148.140625 2325593.250000 -50.000000 3333.000000
162643.109375 2320746.500000 -50.000000 4444.000000
162650.640625 2320770.250000 -50.000000 4444.000000
162658.171875 2320794.000000 -50.000000 4444.000000
162665.703125 2320818.000000 -50.000000 4444.000000
162673.234375 2320841.750000 -50.000000 4444.000000
162680.765625 2320865.750000 -50.000000 4444.000000
162688.296875 2320889.500000 -50.000000 4444.000000
162695.828125 2320913.250000 -50.000000 4444.000000
162703.359375 2320937.250000 -50.000000 4444.000000
162710.890625 2320961.000000 -50.000000 4444.000000
162718.421875 2320984.750000 -50.000000 4444.000000
162725.953125 2321008.750000 -50.000000 4444.000000
162733.484375 2321032.500000 -50.000000 4444.000000
162741.015625 2321056.250000 -50.000000 4444.000000
162748.546875 2321080.250000 -50.000000 4444.000000
162756.078125 2321104.000000 -50.000000 4444.000000
162763.609375 2321127.750000 -50.000000 4444.000000
162771.140625 2321151.750000 -50.000000 4444.000000
162778.671875 2321175.500000 -50.000000 4444.000000
162786.203125 2321199.500000 -50.000000 4444.000000
162793.750000 2321223.250000 -50.000000 4444.000000
162801.281250 2321247.000000 -50.000000 4444.000000
162808.812500 2321271.000000 -50.000000 4444.000000
162816.343750 2321294.750000 -50.000000 4444.000000
162823.875000 2321318.500000 -50.000000 4444.000000
162831.406250 2321342.500000 -50.000000 4444.000000
162838.937500 2321366.250000 -50.000000 4444.000000
162846.468750 2321390.000000 -50.000000 4444.000000
162854.000000 2321414.000000 -50.000000 4444.000000
162861.531250 2321437.750000 -50.000000 4444.000000
162869.062500 2321461.500000 -50.000000 4444.000000
162876.593750 2321485.500000 -50.000000 4444.000000
162884.125000 2321509.250000 -50.000000 4444.000000
162891.656250 2321533.000000 -50.000000 4444.000000
162899.187500 2321557.000000 -50.000000 4444.000000
162906.718750 2321580.750000 -50.000000 4444.000000
162914.250000 2321604.750000 -50.000000 4444.000000
162921.781250 2321628.500000 -50.000000 4444.000000
162929.312500 2321652.250000 -50.000000 4444.000000
162936.843750 2321676.250000 -50.000000 4444.000000
162944.375000 2321700.000000 -50.000000 4444.000000
162951.906250 2321723.750000 -50.000000 4444.000000
162959.437500 2321747.750000 -50.000000 4444.000000
162966.968750 2321771.500000 -50.000000 4444.000000
162974.500000 2321795.250000 -50.000000 4444.000000
162982.031250 2321819.250000 -50.000000 4444.000000
162989.562500 2321843.000000 -50.000000 4444.000000
162997.093750 2321866.750000 -50.000000 4444.000000
