wells	X	Y	dbot	dtop
PSR1	214566.624490863	6759278.43719918	151	16
PZ2	214594.22173094	6758954.10699459	38	12
PZ26	214901.820435526	6759175.49041593	133	3
PSR5	214797.273077619	6759185.57080279	124	13
PZ20	215261.78923627	6759189.50170124	46	19
PZ21	215260.843699645	6759102.86433422	54	15
PSR15	215773.880732925	6759281.36063906	178	18
PZ17	215096.135402018	6759592.9317485	52	22
PZ18	215145.477847042	6759531.02772298	48	15
PSR2	214588.320609111	6759186.84626748	160	19
PZ23	214602.324187766	6759052.53478127	61	15
PZ22	214684.235299889	6759058.17936573	70	20
PZ25	214705.477466258	6758935.65949535	73	16
PZ19	215067.714556226	6759287.25661879	51	18
PZ16	214944.66296186	6759563.64594652	55	18
PZ15	214877.555069792	6759638.36093561	61	11
PZ4	214087.334742956	6759025.17639498	61	12
PZ8	213938.765950942	6758568.5842134	58	12
PZ3	214354.739523644	6758004.7310965	40	13
PSR6	214808.245201949	6759143.99637401	150	16
PZ24	214678.667444942	6759320.37170959	61	15
